timestamp_utc,species_id,ru_name,latin_name,modality,local_file,source_url,license,source_name
2026-05-05T09:05:45Z,SP002,Обыкновенный скворец,Sturnus vulgaris,audio,data/raw/audio/SP002_aud_01.wav,"https://commons.wikimedia.org/wiki/File:Asian_pied_starling_call_recorded_in_September_2010_at_Ladsa,_Madhya_Pradesh.wav",CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:05:46Z,SP002,Обыкновенный скворец,Sturnus vulgaris,audio,data/raw/audio/SP002_aud_02.wav,https://commons.wikimedia.org/wiki/File:Brahminy_starling.wav,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:05:47Z,SP002,Обыкновенный скворец,Sturnus vulgaris,audio,data/raw/audio/SP002_aud_03.wav,https://commons.wikimedia.org/wiki/File:Brahminy_starling_(Sturnia_pagodarum)_call.wav,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:05:47Z,SP003,Большая синица,Parus major,text,data/raw/text/SP003_text_01.txt,https://en.wikipedia.org/wiki/Great_tit,CC BY-SA 4.0 (Wikipedia content),Wikipedia
2026-05-05T09:05:54Z,SP003,Большая синица,Parus major,image,data/raw/images/SP003_img_01.jpg,https://commons.wikimedia.org/wiki/File:029_Great_tit_standing_on_flowering_Wisteria_in_Glâne_District_Photo_by_Giles_Laurent.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:05:55Z,SP003,Большая синица,Parus major,image,data/raw/images/SP003_img_02.jpg,https://commons.wikimedia.org/wiki/File:A_great_tit_koolmees_parus_major.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:05:55Z,SP003,Большая синица,Parus major,image,data/raw/images/SP003_img_03.jpg,https://commons.wikimedia.org/wiki/File:Great_Tit_(Parus_major)_(1).jpg,CC BY-SA 3.0,Wikimedia Commons
2026-05-05T09:05:57Z,SP003,Большая синица,Parus major,audio,data/raw/audio/SP003_aud_01.wav,https://commons.wikimedia.org/wiki/File:Parus_major_-Kohlmeise.wav,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:05:57Z,SP003,Большая синица,Parus major,audio,data/raw/audio/SP003_aud_02.mp3,https://commons.wikimedia.org/wiki/File:Parus_major_-_Great_Tit_XC165660.mp3,CC BY-SA 3.0,Wikimedia Commons
2026-05-05T09:05:57Z,SP003,Большая синица,Parus major,audio,data/raw/audio/SP003_aud_03.mp3,https://commons.wikimedia.org/wiki/File:Parus_major_-_Great_Tit_XC165663.mp3,CC BY-SA 3.0,Wikimedia Commons
2026-05-05T09:05:58Z,SP004,Серая ворона,Corvus cornix,text,data/raw/text/SP004_text_01.txt,https://en.wikipedia.org/wiki/Hooded_crow,CC BY-SA 4.0 (Wikipedia content),Wikipedia
2026-05-05T09:06:03Z,SP004,Серая ворона,Corvus cornix,image,data/raw/images/SP004_img_01.jpg,"https://commons.wikimedia.org/wiki/File:Aves_en_el_Delta_del_Danubio,_Rumanía,_2016-05-28,_DD_27.jpg",CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:04Z,SP004,Серая ворона,Corvus cornix,image,data/raw/images/SP004_img_02.jpg,https://commons.wikimedia.org/wiki/File:Corneille_mantelée_-_Hooded_crow_-_Gri_leş_kargası_01.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:17Z,SP004,Серая ворона,Corvus cornix,audio,data/raw/audio/SP004_aud_01.mp3,https://commons.wikimedia.org/wiki/File:Corvus_cornix_-_Hooded_Crow_XC347296.mp3,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:17Z,SP004,Серая ворона,Corvus cornix,audio,data/raw/audio/SP004_aud_02.mp3,https://commons.wikimedia.org/wiki/File:Corvus_cornix_-_Hooded_Crow_XC405788.mp3,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:06:20Z,SP005,Обыкновенная кукушка,Cuculus canorus,text,data/raw/text/SP005_text_01.txt,https://en.wikipedia.org/wiki/Common_cuckoo,CC BY-SA 4.0 (Wikipedia content),Wikipedia
2026-05-05T09:06:24Z,SP005,Обыкновенная кукушка,Cuculus canorus,image,data/raw/images/SP005_img_01.jpg,https://commons.wikimedia.org/wiki/File:Bösenbechhofen_Weiher_Kuckuck_Cuculus_canorus-20240608-RM-170659.jpg,CC BY-SA 4.0,Wikimedia Commons
