,title,topFeatures,price,categorie,brand
1562,Avid BB7 Disc Brake,"[['material', 'aluminium; finish'], ['caliper design', 'mechanical, forged 2-piece (is or post mount)'], ['rotor', 'included, g2cs clean sweep 160mm, 185mm, 200mm options (mounting bolts included)'], ['pads', 'sintered (included)'], ['adjustment', 'dual knob pad adjustment, tri-align caliper positioning'], ['technology highlight(s)', 'tri-align caliper positioning system'], ['included', 'extra (20mm and 40mm) spacers and fitting bolts are included'], ['single or pair', 'single'], ['weight', '329g (160mm rotor; front post mount)'], ['brake type', 'cable disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",70.99,disc_brake,avid
1565,Avid BB7 Road SL Mechanical Disc Brake,"[['weight', '170 grams, caliper only'], ['caliper design', 'mechanical, forged 2-piece aluminum'], ['finish', 'falcon grey (2012 red match)'], ['rotor', 'hs1 140/160mm'], ['pad', 'aluminum-backed organic'], ['adjustment', 'dual knob pad adjustment, tri-align caliper positioning system'], ['intended use', 'cx/trk/com/road'], ['brake type', 'cable disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",109.0,disc_brake,avid
1622,Avid BB7 Road S Disc Brake,"[['caliper design', 'mechanical, forged 2-piece aluminum (is mount); finish'], ['rotor', 'hs1 140/160mm'], ['brake pads included', 'yes, organic with steel backing plates'], ['mounting bolts included', 'yes'], ['adjustment', 'dual knob pad adjustment, tri-align caliper positioning system'], ['intended use', 'cyclocross, trekking, urban, road'], ['single or pair', 'single'], ['weight', '197g (caliper only)'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",85.0,disc_brake,avid
1642,Avid BB5 Disc Brake,"[['single or pair', 'single'], ['brake pads included', 'yes, sintered type'], ['caliper design', 'mechanical, monoblok (mounting bolts included)'], ['finish', 'satin black'], ['rotor compatibility', 'g2cs cleansweep 160mm, 185mm, 203mm (160mm rotor included)'], ['brake lever compatibility', 'mountain style levers'], ['adjustment', 'inboard knob pad adjustment, tri-align caliper positioning'], ['technology highlight(s)', 'tri-align caliper positioning system'], ['weight', '335g (160mm rotor; front post mount)'], ['brake type', 'cable disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",29.0,disc_brake,avid
1658,Avid BB5 Road Disc Brake,"[['compatibility', 'road style levers'], ['caliper design', 'mechanical, monoblok'], ['finish', 'platinum'], ['rotor', 'g2 cleansweep 160mm, 185mm, 203mm'], ['pad', 'sintered'], ['adjustment', 'inboard knob pad adjustment, tri-align caliper positioning'], ['technology highlight(s)', 'tri-align caliper positioning system'], ['weight', '335 grams (160mm rotor; front post mount)'], ['brake type', 'cable disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes']]",38.99,disc_brake,avid
1107,Avid Elixir and SRAM Level Disc Brake Pads,"[['compatibility', 'avid elixir range and sram level'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",14.99,disc_brake_pads,avid
1113,Avid Juicy and BB7 Disc Brake Pads,"[['compatibility', 'avid juicy and bb7 disc brakes'], ['compound', 'separate sintered or organic options'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",20.99,disc_brake_pads,avid
1117,Avid Guide and Trail Disc Brake Pads (Steel),"[['compatibility', 'avid guide and trail disc brakes'], ['brake type', 'hydraulic disc brake'], ['brake callipers', 'no'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes'], ['mtb', 'yes']]",15.99,disc_brake_pads,avid
1129,Nukeproof Avid SRAM Code 2011 Disc Brake Pads 4Pk,"[['organic', 'good initial bite, very short bed-in time, low noise'], ['sintered', 'high heat resistance, superior performance in wet and dry conditions, strong and consistent braking over wide range of speeds'], ['built for', 'am/xc/dh/fr'], ['compatible with', 'avid code, code r, code rsc 2011 onwards & guide re disc brakes'], ['brake type', 'hydraulic disc brake'], ['mtb', 'yes']]",47.99,disc_brake_pads,avid
1130,Nukeproof Avid BB5 Disc Brake Pads,"[['compatibility', 'avid bb5 disc brakes'], ['organic', 'good initial bite, very short bed-in time, low noise'], ['semi-metallic', 'strong initial bite, fade-resistant, low noise'], ['sintered', 'high heat resistance, superior performance in wet and dry conditions, strong and consistent braking over wide range of speeds'], ['built for', 'am/xc/dh/fr'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",7.99,disc_brake_pads,avid
