title,desc,lem,morph,top_keywords
Гитара,"Гитара - струнный щипковый лютневидный инструмент.
Форма корпуса 8-образная, плоские деки крепятся к обечайкам. Шейка с 18–19 ладами на плоском грифе, заходящем на верхнюю деку в районе 12-го лада, венчается головкой с колковым механизмом. В верхней деке, у края грифа, располагается резонаторное отверстие; в нижней её части крепится мостик с порожком. Из 6 нейлоновых или карбоновых одинарных струн 3 (реже 2) первые (верхние) не имеют оплётки, с 4-й по 6-ю обмотаны канителью. Мензура около 650 мм. Стандартный строй: e1 – h – g – d – A – E. Нотируется в скрипичном ключе октавой выше фактического звучания или в виде табулатуры. Сложилась практика называть такой инструмент классической испанской гитарой. Он же обычно подразумевается при употреблении термина «гитара» без уточнения её разновидности.","['гитара', 'струнный', 'щипковый', 'лютневидный', 'инструмент', 'форма', 'корпус', 'образный', 'плоский', 'дек', 'крепиться', 'обечайка', 'шейк', '–', 'лада', 'плоский', 'гриф', 'заходить', 'верхний', 'дек', 'район', 'го', 'лада', 'венчаться', 'головка', 'колковый', 'механизм', 'в', 'верхний', 'дек', 'край', 'гриф', 'располагаться', 'резонаторный', 'отверстие', 'нижний', 'её', 'часть', 'крепиться', 'мостик', 'порожек', 'из', 'нейлоновый', 'карбоновый', 'одинарный', 'струна', 'редкий', 'первый', 'верхний', 'иметь', 'оплётка', 'й', 'ю', 'обмотать', 'канитель', 'мензура', 'около', 'мм', 'стандартный', 'строй', '–', '–', '–', '–', '–', 'нотироваться', 'скрипичный', 'ключ', 'октава', 'выше', 'фактический', 'звучание', 'вид', 'табулатура', 'сложиться', 'практика', 'называть', 'инструмент', 'классический', 'испанский', 'гитара', 'он', 'обычно', 'подразумеваться', 'употребление', 'термин', '«гитара»', 'уточнение', 'её', 'разновидность']","['гитара', 'струнный', 'щипковый', 'лютневидный', 'инструмент', 'форма', 'корпус', 'образный', 'плоский', 'дек', 'крепиться', 'обечайка', 'шейк', '–', 'лада', 'плоский', 'гриф', 'заходить', 'верхний', 'дек', 'район', 'го', 'лада', 'венчаться', 'головка', 'колковый', 'механизм', 'в', 'верхний', 'дек', 'край', 'гриф', 'располагаться', 'резонаторный', 'отверстие', 'нижний', 'её', 'часть', 'крепиться', 'мостик', 'порожек', 'из', 'нейлоновый', 'карбоновый', 'одинарный', 'струна', 'редкий', 'первый', 'верхний', 'иметь', 'оплётка', 'й', 'ю', 'обмотать', 'канитель', 'мензура', 'около', 'мм', 'стандартный', 'строй', '–', '–', '–', '–', '–', 'нотироваться', 'скрипичный', 'ключ', 'октава', 'выше', 'фактический', 'звучание', 'вид', 'табулатура', 'сложиться', 'практика', 'называть', 'инструмент', 'классический', 'испанский', 'гитара', 'он', 'обычно', 'подразумеваться', 'употребление', 'термин', '«гитара»', 'уточнение', 'её', 'разновидность']","['гитара', 'дек', 'верхний', 'её', 'плоский']"
Флейта,"Флейта - духовой музыкальный инструмент (аэрофон). Звук возникает в результате рассечения вдуваемой струи воздуха о край ствола или край выреза свисткового отверстия.
Обычно флейта имеет форму трубки, однако встречаются флейты с сосудообразным корпусом (например, окарина). Флейты (или флейтовые инструменты, инструменты типа флейты) бывают продольные и поперечные; с пальцевыми отверстиями и без них; одноствольные, парные и многоствольные; открытые и закрытые; со свистковым устройством; и др. Материал изготовления: древесина, тростник, бамбук, кость, глина и др. Флейта – один из древнейших музыкальных инструментов (появление продольных костяных флейт датируется эпохой палеолита), в большинстве культур мира основной среди духовых музыкальных инструментов. Примеры традиционных флейт: кавал, курай, най, сринг, сякухати, тилинка, флуер.","['флейта', 'духов', 'музыкальный', 'инструмент', 'аэрофон', 'звук', 'возникать', 'результат', 'рассечение', 'вдувать', 'струить', 'воздух', 'край', 'ствол', 'край', 'вырез', 'свистковый', 'отверстие', 'обычно', 'флейта', 'иметь', 'форма', 'трубка', 'однако', 'встречаться', 'флейта', 'сосудообразный', 'корпус', 'например', 'окарина', 'флейта', 'флейтовый', 'инструмент', 'инструмент', 'тип', 'флейта', 'бывать', 'продольный', 'поперечный', 'пальцевый', 'отверстие', 'одноствольный', 'парный', 'многоствольный', 'открытый', 'закрытый', 'свистковый', 'устройство', 'др', 'материал', 'изготовление', 'древесина', 'тростник', 'бамбук', 'кость', 'глина', 'др', 'флейта', '–', 'древний', 'музыкальный', 'инструмент', 'появление', 'продольный', 'костяной', 'флейта', 'датироваться', 'эпоха', 'палеолит', 'большинство', 'культура', 'мир', 'основной', 'среди', 'духов', 'музыкальный', 'инструмент', 'пример', 'традиционный', 'флейта', 'кавал', 'курай', 'най', 'сринг', 'сякухатить', 'тилинк', 'флуер']","['флейта', 'духов', 'музыкальный', 'инструмент', 'аэрофон', 'звук', 'возникать', 'результат', 'рассечение', 'вдувать', 'струить', 'воздух', 'край', 'ствол', 'край', 'вырез', 'свистковый', 'отверстие', 'обычно', 'флейта', 'иметь', 'форма', 'трубка', 'однако', 'встречаться', 'флейта', 'сосудообразный', 'корпус', 'например', 'окарина', 'флейта', 'флейтовый', 'инструмент', 'инструмент', 'тип', 'флейта', 'бывать', 'продольный', 'поперечный', 'пальцевый', 'отверстие', 'одноствольный', 'парный', 'многоствольный', 'открытый', 'закрытый', 'свистковый', 'устройство', 'др', 'материал', 'изготовление', 'древесина', 'тростник', 'бамбук', 'кость', 'глина', 'др', 'флейта', '–', 'древний', 'музыкальный', 'инструмент', 'появление', 'продольный', 'костяной', 'флейта', 'датироваться', 'эпоха', 'палеолит', 'большинство', 'культура', 'мир', 'основной', 'среди', 'духов', 'музыкальный', 'инструмент', 'пример', 'традиционный', 'флейта', 'кавал', 'курай', 'най', 'сринг', 'сякухатить', 'тилинк', 'флуер']","['флейта', 'инструмент', 'продольный', 'свистковый', 'др']"
Саксофон,"Саксофон - духовой язычковый музыкальный инструмент с одинарной тростью. Сконструирован бельгийским мастером А. Саксом в 1-й половине 1840-х гг. [название – от фамилии изобретателя (Sax) и ...фон].
Металлический корпус конического сечения, с развёрнутым вперёд и вверх раструбом, клапанно-рычажным механизмом. Клювообразный мундштук с одинарной тростью (как у кларнета) соединяется с корпусом посредством т. н. подмундштучной трубки. Современные разновидности саксофона образуют семейство транспонирующих инструментов, из которых употребительны: сопранино in Es, сопрано in B, альт in Es, тенор in B, баритон in Es, бас in B. Для исполнителей джаза изготавливаются разновидности в строях in C и in F. Саксофон имеет S-образную форму, за исключением высоких разновидностей с прямым конусообразным стволом. Нотируется преимущественно в скрипичном ключе. Обладает сильным, выразительным звуком, сочным и полным, своеобразного «пряного» тембра, большими виртуозно-техническими возможностями. Ведущие фирмы-изготовители постоянно совершенствуют свои модели саксофона.","['саксофон', 'духов', 'язычковый', 'музыкальный', 'инструмент', 'одинарный', 'трость', 'сконструировать', 'бельгийский', 'мастер', 'а', 'сакс', 'й', 'половина', 'х', 'год', 'название', '–', 'фамилия', 'изобретатель', 'фон', 'металлический', 'корпус', 'конический', 'сечение', 'развернуть', 'вперёд', 'вверх', 'раструб', 'клапанный', 'рычажный', 'механизм', 'клювообразный', 'мундштук', 'одинарный', 'трость', 'кларнет', 'соединяться', 'корпус', 'посредством', 'так', 'н', 'подмундштучный', 'трубка', 'современный', 'разновидность', 'саксофон', 'образовать', 'семейство', 'транспонировать', 'инструмент', 'который', 'употребительный', 'сопранин', 'сопрано', 'альт', 'тенор', 'баритон', 'бас', 'для', 'исполнитель', 'джаз', 'изготавливаться', 'разновидность', 'строй', 'саксофон', 'иметь', 'образный', 'форма', 'исключение', 'высокий', 'разновидность', 'прямой', 'конусообразный', 'ствол', 'нотироваться', 'преимущественно', 'скрипичный', 'ключ', 'обладать', 'сильный', 'выразительный', 'звук', 'сочный', 'полный', 'своеобразный', '«пряного»', 'тембр', 'больший', 'виртуозно', 'технический', 'возможность', 'ведущий', 'фирма', 'изготовитель', 'постоянно', 'совершенствовать', 'свой', 'модель', 'саксофон']","['саксофон', 'духов', 'язычковый', 'музыкальный', 'инструмент', 'одинарный', 'трость', 'сконструировать', 'бельгийский', 'мастер', 'а', 'сакс', 'й', 'половина', 'х', 'год', 'название', '–', 'фамилия', 'изобретатель', 'фон', 'металлический', 'корпус', 'конический', 'сечение', 'развернуть', 'вперёд', 'вверх', 'раструб', 'клапанный', 'рычажный', 'механизм', 'клювообразный', 'мундштук', 'одинарный', 'трость', 'кларнет', 'соединяться', 'корпус', 'посредством', 'так', 'н', 'подмундштучный', 'трубка', 'современный', 'разновидность', 'саксофон', 'образовать', 'семейство', 'транспонировать', 'инструмент', 'который', 'употребительный', 'сопранин', 'сопрано', 'альт', 'тенор', 'баритон', 'бас', 'для', 'исполнитель', 'джаз', 'изготавливаться', 'разновидность', 'строй', 'саксофон', 'иметь', 'образный', 'форма', 'исключение', 'высокий', 'разновидность', 'прямой', 'конусообразный', 'ствол', 'нотироваться', 'преимущественно', 'скрипичный', 'ключ', 'обладать', 'сильный', 'выразительный', 'звук', 'сочный', 'полный', 'своеобразный', '«пряного»', 'тембр', 'больший', 'виртуозно', 'технический', 'возможность', 'ведущий', 'фирма', 'изготовитель', 'постоянно', 'совершенствовать', 'свой', 'модель', 'саксофон']","['саксофон', 'разновидность', 'трость', 'одинарный', 'корпус']"
Скрипка,"Скрипка - струнно-смычковый музыкальный инструмент с четырьмя струнами, настроенными по квинтам: Gм D1 A1 E2. Самая высокая регистровая разновидность скрипичного семейства, ниже которой располагаются альт, виолончель и контрабас.Вместе с фортепиано скрипка является главным инструментом академической (классической) музыки. С середины XVIII века она составляет основу симфонического оркестра и струнного квартета. Как народный инструмент продолжает бытовать среди поляков, белорусов (см. троисти музыки), евреев (см. клезмер), северо-западных русских, чехов, латышей, шведов, норвежцев, эстонцев, венгров, румын, молдаван, цыган (см. тараф) и других народов. В США применяется в музыке кантри[1], в Индии — в классической музыке традиции карнатака. ","['скрипка', 'струнный', 'смычковый', 'музыкальный', 'инструмент', 'четыре', 'струна', 'настроить', 'квинта', 'м', 'самый', 'высокий', 'регистровый', 'разновидность', 'скрипичный', 'семейство', 'ниже', 'который', 'располагаться', 'альт', 'виолончель', 'контрабас', 'вместе', 'фортепиано', 'скрипка', 'являться', 'главный', 'инструмент', 'академический', 'классический', 'музыка', 'с', 'середина', 'век', 'составлять', 'основа', 'симфонический', 'оркестр', 'струнный', 'квартет', 'как', 'народный', 'инструмент', 'продолжать', 'бытовать', 'среди', 'поляк', 'белорус', 'смотреть', 'троистить', 'музыка', 'еврей', 'смотреть', 'клезмера', 'северо', 'западный', 'русский', 'чехов', 'латыш', 'швед', 'норвежец', 'эстонец', 'венгр', 'румын', 'молдаванин', 'цыган', 'смотреть', 'тараф', 'другой', 'народ', 'в', 'сша', 'применяться', 'музыка', 'кантри', 'индия', 'классический', 'музыка', 'традиция', 'карнатака']","['скрипка', 'струнный', 'смычковый', 'музыкальный', 'инструмент', 'четыре', 'струна', 'настроить', 'квинта', 'м', 'самый', 'высокий', 'регистровый', 'разновидность', 'скрипичный', 'семейство', 'ниже', 'который', 'располагаться', 'альт', 'виолончель', 'контрабас', 'вместе', 'фортепиано', 'скрипка', 'являться', 'главный', 'инструмент', 'академический', 'классический', 'музыка', 'с', 'середина', 'век', 'составлять', 'основа', 'симфонический', 'оркестр', 'струнный', 'квартет', 'как', 'народный', 'инструмент', 'продолжать', 'бытовать', 'среди', 'поляк', 'белорус', 'смотреть', 'троистить', 'музыка', 'еврей', 'смотреть', 'клезмера', 'северо', 'западный', 'русский', 'чехов', 'латыш', 'швед', 'норвежец', 'эстонец', 'венгр', 'румын', 'молдаванин', 'цыган', 'смотреть', 'тараф', 'другой', 'народ', 'в', 'сша', 'применяться', 'музыка', 'кантри', 'индия', 'классический', 'музыка', 'традиция', 'карнатака']","['музыка', 'смотреть', 'скрипка', 'струнный', 'классический']"
Кларнет,"Кларнет - язычковый деревянный духовой музыкальный инструмент с одинарной тростью. Был изобретён около 1700 года в Нюрнберге, в музыке активно используется со второй половины XVIII века. Применяется в самых разнообразных музыкальных жанрах и составах: в качестве сольного инструмента, в камерных ансамблях, симфонических и духовых оркестрах, народной музыке, на эстраде и в джазе. Кларнет обладает широким диапазоном, тёплым, мягким тембром и предоставляет исполнителю широкие выразительные возможности. ","['кларнет', 'язычковый', 'деревянный', 'духов', 'музыкальный', 'инструмент', 'одинарный', 'трость', 'быть', 'изобрести', 'около', 'год', 'нюрнберг', 'музыка', 'активно', 'использоваться', 'второй', 'половина', 'век', 'применяться', 'самый', 'разнообразный', 'музыкальный', 'жанр', 'состав', 'качество', 'сольный', 'инструмент', 'камерный', 'ансамбль', 'симфонический', 'духов', 'оркестр', 'народный', 'музыка', 'эстрада', 'джаз', 'кларнет', 'обладать', 'широкий', 'диапазон', 'тёплый', 'мягкий', 'тембр', 'предоставлять', 'исполнитель', 'широкий', 'выразительный', 'возможность']","['кларнет', 'язычковый', 'деревянный', 'духов', 'музыкальный', 'инструмент', 'одинарный', 'трость', 'быть', 'изобрести', 'около', 'год', 'нюрнберг', 'музыка', 'активно', 'использоваться', 'второй', 'половина', 'век', 'применяться', 'самый', 'разнообразный', 'музыкальный', 'жанр', 'состав', 'качество', 'сольный', 'инструмент', 'камерный', 'ансамбль', 'симфонический', 'духов', 'оркестр', 'народный', 'музыка', 'эстрада', 'джаз', 'кларнет', 'обладать', 'широкий', 'диапазон', 'тёплый', 'мягкий', 'тембр', 'предоставлять', 'исполнитель', 'широкий', 'выразительный', 'возможность']","['широкий', 'кларнет', 'музыка', 'духов', 'музыкальный']"
Труба,"Труба - европейский духовой амбушюрный инструмент.
Современная труба состоит из овально свёрнутой длинной тонкой металлической трубки, мундштука, раструба. С трубкой соединён вентильный механизм, обеспечивающий извлечение хроматического звукоряда. Длина корпуса от мундштука до раструба 47–50 см, общая длина трубки 130–150 см. Входит в оркестровую группу медных духовых инструментов. Принятые обозначения в партитуре: Trombа (итал.), Trompete (нем.). Самый высокий по тесситуре и технически подвижный инструмент медной группы, отличается ярким, сильным, эффектным звуком.","['труба', 'европейский', 'духов', 'амбушюрный', 'инструмент', 'современный', 'труба', 'состоять', 'овально', 'свёрнутый', 'длинный', 'тонкий', 'металлический', 'трубка', 'мундштук', 'раструб', 'с', 'трубка', 'соединить', 'вентильный', 'механизм', 'обеспечивать', 'извлечение', 'хроматический', 'звукоряд', 'длина', 'корпус', 'мундштук', 'раструб', '–', 'смотреть', 'общий', 'длина', 'трубка', '–', 'смотреть', 'входить', 'оркестровый', 'группа', 'медный', 'духов', 'инструмент', 'принять', 'обозначение', 'партитура', 'итал', 'немой', 'самый', 'высокий', 'тесситура', 'технически', 'подвижный', 'инструмент', 'медный', 'группа', 'отличаться', 'яркий', 'сильный', 'эффектный', 'звук']","['труба', 'европейский', 'духов', 'амбушюрный', 'инструмент', 'современный', 'труба', 'состоять', 'овально', 'свёрнутый', 'длинный', 'тонкий', 'металлический', 'трубка', 'мундштук', 'раструб', 'с', 'трубка', 'соединить', 'вентильный', 'механизм', 'обеспечивать', 'извлечение', 'хроматический', 'звукоряд', 'длина', 'корпус', 'мундштук', 'раструб', '–', 'смотреть', 'общий', 'длина', 'трубка', '–', 'смотреть', 'входить', 'оркестровый', 'группа', 'медный', 'духов', 'инструмент', 'принять', 'обозначение', 'партитура', 'итал', 'немой', 'самый', 'высокий', 'тесситура', 'технически', 'подвижный', 'инструмент', 'медный', 'группа', 'отличаться', 'яркий', 'сильный', 'эффектный', 'звук']","['трубка', 'длина', 'группа', 'медный', 'труба']"
