id,song,artist,album,album_id,time,playlist,lyrics,genre,path
1695466,В последнюю осень,ДДТ,Актриса Весна,168137,2025-01-12 19:19:21.300788,Лучшие песни русского рока,"В последнюю осень ни строчки, ни вздоха
Последние песни осыпались летом
Прощальным костром догорает эпоха
И мы наблюдаем за тенью и светом
В последнюю осень
В последнюю осень

Осенняя буря шутя разметала
Все то, что душило нас
Пыльною ночью
Все то, что давило, играло, мерцало
Осиновым ветром разорвано в клочья
В последнюю осень
В последнюю осень

Ах, Александр Сергеевич, милый
Ну что же Вы нам ничего не сказали
О том, как держали, искали, любили
О том, что в последнюю осень Вы знали
В последнюю осень
В последнюю осень

Голодное море шипя поглотило
Осеннее солнце, и за облаками
Вы больше не вспомните то, что здесь было
И пыльной травы не коснетесь руками
Уходят в последнюю осень поэты
И их не вернуть - заколочены ставни
Остались дожди и замерзшее лето
Осталась любовь и ожившие камни
В последнюю осень
В последнюю осень",rock,
27037175,Человек и кошка,Ноль,Песня о безответной любви к Родине,63123,2025-01-12 19:19:21.995779,Лучшие песни русского рока,"Человек и кошка плачут у окошка
Серый дождик каплет прямо на стекло
К человеку с кошкой едет неотложка
Человеку бедному мозг больной свело

Доктор едет, едет сквозь снежную равнину
Порошок целебный людям он везёт
Человек и кошка порошок тот примут
И печаль отступит, и тоска пройдёт!

Человек и кошка дни с трудом считают
Вместо неба синего серый потолок
Человек и кошка по ночам летают
Только сон не вещий крыльев не даёт

Доктор едет, едет сквозь снежную равнину
Порошок целебный людям он везёт
Человек и кошка порошок тот примут
И печаль отступит, и тоска пройдёт!

""Где ты, где ты, где ты, белая карета?""
В стенах туалета человек кричит
Но не слышат стены, трубы, словно вены
И бачок сливной, как сердце, бешено стучит

Доктор едет, едет сквозь снежную равнину
Порошок целебный людям он везёт
Человек и кошка порошок тот примут
И печаль отступит, и тоска пройдёт!",rock,
24112220,Трасса Е95,Алиса,Дурень,22193374,2025-01-12 19:19:22.721005,Лучшие песни русского рока,"Мое солнце горит на стыке ветров, границе семи холмов
Мое небо дождем опрокинули в ночь тени пяти углов
Сколько троп и дорог для меня заплелись в одну
Я иду по своей земле к небу, которым живу
Снова в ночь летят дороги
День рассвет менять
Кому чья, а мне досталась
(Трасса Е-95)

Только в двух городах я дома, пока я гость
Только там, где Нева становится морем - я вижу Крымский мост
В полдень сквозь звон колоколен будто бы в двух шагах
Гром Петропавловской пушки я слышу на Покровах
Снова в ночь летят дороги
День рассвет менять
Кому чья, а мне досталась
(Трасса Е-95)

Это над головой синяя даль ладит до звезд мосты
Я уверен, что когда-нибудь я стану лучом звезды
Ну а пока там, где вечер-туман ставит на дальний свет
Я лечу по своей земле, дорогой, которой нет
Снова в ночь летят дороги
День рассвет менять
Кому чья, а мне досталась
(Трасса Е-95)
Точно!
И пусть этой дороги уже нет, она осталась здесь

Трасса Е-95
Трасса Е-95
Трасса Е-95
Трасса Е-95
А теперь вы
(Трасса Е-95)
(Трасса Е-95)
Еще, еще!
(Трасса Е-95)
(Трасса Е-95)",rock,
25903434,Московский бит,Браво,The Best Of,32960797,2025-01-12 19:19:23.145576,Лучшие песни русского рока,,rock,
34905254,Марионетки,Машина времени,Лучшие песни 1979-1985,4741960,2025-01-12 19:19:23.879355,Лучшие песни русского рока,"Лица стёрты, краски тусклы
То ли люди, то ли куклы
Взгляд похож на взгляд, а день на день

И я устал и, отдыхая
В балаган вас приглашаю
Где куклы так похожи на людей

Арлекины и пираты
Циркачи и акробаты
И злодей, чей вид внушает страх

Волк и заяц, тигры в клетке
Все они марионетки
В ловких и натруженных руках

Волк и заяц, тигры в клетке
Все они марионетки
В ловких и натруженных руках

Кукол дёргают за нитки
На лице у них улыбки
И играет клоун на трубе

И в процессе представленья
Создаётся впечатленье
Что куклы пляшут сами по себе

Ах, до чего ж порой обидно
Что хозяина не видно
Вверх и в темноту уходит нить

А куклы так ему послушны
И мы верим простодушно
В то, что кукла может говорить

А куклы так ему послушны
И мы верим простодушно
В то, что кукла может говорить

Но вот хозяин гасит свечи
Кончен бал и кончен вечер
Засияет месяц в облаках

И кукол снимут с нитки длинной
И, засыпав нафталином
В виде тряпок сложат в сундуках

И кукол снимут с нитки длинной
И, засыпав нафталином
В виде тряпок сложат в сундуках",rock,
30390936,Жара,Чичерина,Сны,1673070,2025-01-12 19:19:24.627016,Лучшие песни русского рока,"Солнечный день, оранжевый плюс
Я не успеваю, но и не тороплюсь
Еле дыша катится шар
С ветки на ветку не спеша

Правый каблук провалился в асфальт
Ты не дождался, очень жаль
В полуденный зной маешься злой
Где-то сейчас, только не со мной

Жара, жара
Жареное солнце больших городов
Жара, жара
Жареное солнце

Солнце забыло дома часы
По телефону прощенья просить
Сегодня, вчера и завтра с утра
Завтра с утра и опять до утра

Жара, жара
Жареное солнце больших городов
Жара, жара
Жареное солнце

Жара, жара
Жареное солнце больших городов
Жара, жара
Жареное солнце, жареное солнце

Жара, жара
Жареное солнце больших городов
Жара, жара
Жареное солнце

Жара, жара
Жареное солнце больших городов
Жара, жара
Жареное солнце

Жара, жара
Жареное солнце больших городов
Жара, жара
Жареное солнце

Жара, жара
Жареное солнце больших городов
Жара, жара
Жареное солнце, жареное солнце",rock,
580880,Мой рокнролл,Би-2,Мяу кисс ми,61995,2025-01-12 19:19:25.329077,Лучшие песни русского рока,"И то, что было набело (набело), откроется потом
Мой рок-н-ролл — это не цель и даже не средство
Не новое, а заново (заново), один и об одном
Дорога — мой дом, и для любви это не место

Прольются все слова, как дождь
И там, где ты меня не ждёшь
Ночные ветры принесут тебе прохладу
На наших лицах без ответа лишь только отблески рассвета
Того (того), где ты меня не ждёшь

А дальше, это главное (главное): похожий на тебя
В долгом пути я заплету волосы лентой
И не способный на покой, я знак подам тебе рукой
Прощаясь с тобой (с тобой), как будто с легендой

Прольются все слова, как дождь
И там, где ты меня не ждёшь
Ночные ветры принесут тебе прохладу
На наших лицах без ответа лишь только отблески рассвета
Того (того), где ты меня не ждёшь

И то, что было набело, откроется потом
Мой рок-н-ролл — это не цель и даже не средство
Не новое, а заново (заново), один и об одном
Дорога — мой дом, и для любви это не место

Дорога — мой дом, и для любви это не место
Дорога — мой дом, и для любви это не место
Дорога — мой дом, и для любви это не место
Дорога — мой дом, и для любви это не место",rock,
27037156,Иду курю,Ноль,Песня о безответной любви к Родине,63123,2025-01-12 19:19:26.056810,Лучшие песни русского рока,"Возвращаюсь раз под вечер, обкурившись гашиша
Жизнь становится прекрасна, и безумно хороша
Иду, курю
Иду, курю, аах
Иду, курю
Иду, курю

И в ушах звон шелестит листвою, и стоит туман над рекой Невой
Над рекой Невой стоит туман, над дурман травой стоит туман
Над рекой Невой стоит дурман, над дурман травой пам-парам-пам
А я иду, а-а-а, курю
А-а-а, иду, курю

Пройду по Абрикосовой, сверну на Виноградную
И на тенистой улице я постою в тени
Аах, иду, курю, иду",rock,
20713824,До свиданья мама,Моральный кодекс,Сотрясение мозга,2362873,2025-01-12 19:19:26.775601,Лучшие песни русского рока,"Слышишь, пробило 12 часов
Лучше все двери закрыть на засов
Крепко уснула родная страна
Что ж ты так поздно бродишь одна?

Может, поедем ко мне, заодно
Выпьем, покурим, посмотрим кино?
Ну, моя крошка, давай, не тяни
На две копейки домой позвони

До свиданья, мама
До свиданья, мама

До свиданья, мама
До свиданья, мама

Как хорошо, что тебя я нашёл
Знаешь, я тоже от мамы ушёл
Ты в свои годы должна уже знать
Каждому нужно однажды сказать

До свиданья, мама
До свиданья, мама

До свиданья, мама
До свиданья, мама

Шуба-дуба, хали-гали!
Уау!

До свиданья, мама
До свиданья, мама

До свиданья, мама
До свиданья, мама

До свиданья, мама
До свиданья, мама",rock,
25903446,Вася,Браво,Стиляги из Москвы,32851244,2025-01-12 19:19:27.170121,Лучшие песни русского рока,,rock,
1695498,Что такое осень,ДДТ,Актриса Весна,168137,2025-01-12 19:19:27.897245,Лучшие песни русского рока,"Что такое осень — это небо
Плачущее небо под ногами
В лужах разлетаются птицы с облаками
Осень, я давно с тобою не был
В лужах разлетаются птицы с облаками
Осень, я давно с тобою не был

Осень, в небе жгут корабли
Осень, мне бы прочь от земли
Там, где в море тонет печаль
Осень — тёмная даль

Что такое осень — это камни
Верность над чернеющей Невою
Осень вновь напомнила душе о самом главном
Осень, я опять лишён покоя
Осень вновь напомнила душе о самом главном
Осень, я опять лишён покоя

Осень, в небе жгут корабли
Осень, мне бы прочь от земли
Там, где в море тонет печаль
Осень — тёмная даль

Что такое осень — это ветер
Вновь играет рваными цепями
Осень, доползём ли, долетим ли до ответа?
Что же будет с Родиной и с нами?
Осень, доползём ли, долетим ли до рассвета?
Осень, что же будет завтра с нами?

Осень, в небе жгут корабли
Осень, мне бы прочь от земли
Там, где в море тонет печаль
Осень — тёмная даль

Осень, в небе жгут корабли
Осень, мне бы прочь от земли
Там, где в море тонет печаль
Осень — тёмная даль

Тает стаей город во мгле
Осень, что я знал о тебе?
Сколько будет рваться листва?
Осень вечно права",rock,
29016012,Халигали паратрупер,Леприконсы,Нам с тобою было супер,3482617,2025-01-12 19:19:28.653111,Лучшие песни русского рока,"Помню, было мне десять лет, я копил на новый велосипед
Я жил лишь этою мечтой, пока как-то раз не встретился с тобой
Ты меня обворожила, погулять с собою предложила
Я взял копилку, и разбил, и тебя потом в ДК сводил

Хали-гали, а паратруппер, нам с тобою было супер
Супер восемь, хали-гали, мы с тобой весь день летали
Хали-гали, а паратруппер, нам с тобою было супер
Супер восемь, хали-гали, мы с тобой весь день летали, летали

Когда мне было пятнадцать лет, я копил на новенький мопед
Я жил лишь этою мечтой, пока как-то раз не встретился с тобой
Ты меня обворожила, на дискач попсовый пригласила
Напитков много разных было, ты меня в ту ночь уговорила

Хали-гали, а паратруппер, нам с тобою было супер
Супер восемь, хали-гали, мы с тобой всю ночь летали
Хали-гали, а паратруппер, нам с тобою было супер
Супер восемь, хали-гали, мы с тобой всю ночь летали, летали

Но ты сказала мне: Извини и проща-ай
Сколько буду жить я помнить буду это, а так и зна-а-ай

Хали-гали, а паратруппер, нам с тобою было супер
Супер восемь, хали-гали, мы с тобой весь день летали
Хали-гали, а паратруппер, нам с тобою было супер
Супер восемь, хали-гали, мы с тобой весь день летали, летали, летали",rock,
25784420,Тулула,Чичерина,Сны,1673070,2025-01-12 19:19:29.384403,Лучшие песни русского рока,"Я стою на краю
На обрыве, над рекой
Не могу пошевелить ни рукой, ни головой
Защемило сердце мне, в голове замкнуло
Мне осталось только петь то, что ветром в голову надуло

Ту-лу-ла, ту-лу-ла, ту-ту-ту-лу-ла
В голове моей замкнуло ла-ха
Ту-лу-ла, ту-лу-ла, ту-ту-ту-лу-ла
Ветром в голову надуло ла-ла-ла-ха

Ты ушёл от меня к рыжей женщине хромой
Моя мама запретила возвращаться мне домой
Моя левая нога с края соскользнула
Мне осталось только петь то, что ветром в голову надуло

Ту-лу-ла, ту-лу-ла, ту-ту-ту-лу-ла
В голове моей замкнуло ла-ха
Ту-лу-ла, ту-лу-ла, ту-ту-ту-лу-ла
Ветром в голову надуло ла-ла-ла-ха
Ту-лу-ла, ту-лу-ла, ту-ту-ту-лу-ла
В голове моей замкнуло ла-ха
Ту-лу-ла, ту-лу-ла, ту-ту-ту-лу-ла
Ветром в голову надуло ла-ла-ла-ха",rock,
27037167,Песня о настоящем индейце,Ноль,Песня о безответной любви к Родине,63123,2025-01-12 19:19:30.155562,Лучшие песни русского рока,"Настоящему индейцу надо только одного
Да и этого не много, да почти что ничего
Если ты, чувак, индеец, ты найдёшь себе оттяг
Настоящему индейцу завсегда везде ништяк

Эх, трава, травушка, травушка-муравушка
Эх, грибочки, ягодки, да цветочки-лютики
Эх, берёзки, ёлочки, шишечки, иголочки
Эх, да птички-уточки, прибаутки-шуточки

Ну, а если наш индеец вдруг немного загрустит
Он достанет папиросу и покурит посидит
Посидит, подумает, что-нибудь придумает
Ну, а если грустно станет, так он песню запоёт

Эх, трава, травушка, травушка-муравушка
Эх, берёзки, ёлочки, шишечки, иголочки
Эх, цветочки-лютики, да грибочки, ягодки
Эх, да птички-уточки, прибаутки-шуточки

А под вечер все индейцы соберутся у стола
Заколотят трубку мира – прояснится голова
И про прерии простор поведут свой разговор
Где ж вы, кони, наши кони, что несут во весь опор?

Эх, трава, травушка, травушка-муравушка
Эх, берёзки, ёлочки, шишечки, иголочки
Эх, грибочки, ягодки, да цветочки-лютики
Эх, да птички-уточки, прибаутки-шуточки",rock,
2192804,Утекай,Мумий Тролль,Best 20-20,11805582,2025-01-12 19:19:31.025793,Лучшие песни русского рока,"校褌械泻邪泄 胁 锌芯写胁芯p芯褌薪械 薪邪褋 卸写械褌 屑邪薪褜褟泻
啸芯褔械褌 薪邪褋 锌芯褋邪写懈褌褜 薪邪 泻p褞褔芯泻
袣p邪褋邪胁懈褑褘 褍卸械 谢懈褕懈谢懈褋褜 褋胁芯懈褏 褔邪p
袦邪褕懈薪褘 胁 锌邪p泻 胁褋械 谐邪薪谐褋褌械p褘 褋锌褟褌
袨褋褌邪谢懈褋褜 褌芯谢褜泻芯 屑褘 薪邪 p邪褋褌械p蟹邪薪懈械 械
袩邪p芯褔泻邪 锌p芯褋褌褘褏 懈 屑芯谢芯写褘褏 p械斜褟褌

袥邪谢邪谢邪谢邪泄 谢邪谢邪谢邪谢邪谢邪谢邪泄 谢邪谢邪谢邪泄 谢邪谢邪谢邪谢邪谢邪泄
校褌械泻邪泄

校褌械泻邪泄 芯薪 锌芯p械卸械褌 屑械薪褟 薪邪 屑械褏邪
袠 谐p邪薪懈褑邪 锌芯褌械p褟械褌 泻芯薪褌p芯谢褜
袪褍泻褍 薪懈卸械 斜械写p邪 芯薪 泻邪泻 褋褌芯谢斜
小屑芯褌p懈褌 胁 褖械谢芯褔泻褍 褕褌芯p 薪邪 芯褌p褟写
袨褋褌邪谢懈褋褜 褌芯谢褜泻芯 屑褘 薪邪 p邪褋褌械p蟹邪薪懈械 械
袩邪p芯褔泻邪 锌p芯褋褌褘褏 懈 屑芯谢芯写褘褏 p械斜褟褌

袥邪谢邪谢邪谢邪泄 谢邪谢邪谢邪谢邪谢邪谢邪泄 谢邪谢邪谢邪泄 谢邪谢邪谢邪谢邪谢邪泄
校褌械泻邪泄

校褌械泻邪泄",rock,
34942045,Утро,Дайте танк (!),Радио огонь,12348427,2025-01-12 19:19:31.783519,Лучшие песни русского рока,"Я провожу тебя до лифта и обниму
Я твоей матери не нравлюсь по-моему
Придумай, где ты была все четыре дня
Засосы замаскируй, не сдавай меня

Если увидят, нам попадёт поровну
Хорошо, что окна в другую сторону
Плохо, что наше с тобой время истекло
И я иду домой, уже совсем светло

Это не первое и не последнее утро, что я тебе подарю
Мы слишком молоды, чтобы вести себя мудро
Я знаю, что говорю
Это не первое и не последнее утро
Никто не отнимет их
Мы подозрительно мудрые для молодых

И шире некуда улыбка на лице
Ни одного человека на улице
И горизонт возбуждённо порозовел
А я замёрз — судя по всему, протрезвел

И тишина, лишь деревья одни шумят
Иду по городу, я доволен и помят
Мимо аллей и гаражей, вот и мой дом
Извините, я спать. Побеседуем потом

Это не первое и не последнее утро, что я тебе подарю
Мы слишком молоды, чтобы вести себя мудро
Я знаю, что говорю
Это не первое и не последнее утро
Никто не отнимет их
Мы подозрительно мудрые для молодых

Это не первое и не последнее утро
Это не первое и не последнее утро",rock,
32224972,Новое московское сиртаки,Мегаполис,Пестрые ветерочки,480633,2025-01-12 19:19:32.581115,Лучшие песни русского рока,"Я тебя разлюблю и забуду
Когда в пятницу будет среда
Когда вырастут розы повсюду
Голубые, как яйца дрозда

Голубые, как яйца дрозда

Никогда! Пада-бада-да, падада-дадам
Никогда! Пада-бада-да, падада-дадам
Никогда! Пада-бада-да, падада-дадам
Никогда! Пада-бада-да, падада-дадам
Никогда!

Когда слон прокричит: ""Кукареку!""
Когда дом постоит на трубе
Когда съест бутерброд человека
И когда я женюсь на тебе

И когда я женюсь на тебе

Никогда! Пада-бада-да, падада-дадам
Никогда! Пада-бада-да, падада-дадам
Никогда! Пада-бада-да, падада-дадам
Никогда! Пада-бада-да, падада-дадам
Никогда!

Я тебя разлюблю и забуду
Когда в пятницу будет среда
Когда вырастут розы повсюду
Голубые, как яйца дрозда

Голубые, как яйца дрозда

Никогда! Пада-бада-да, падада-дадам
Никогда! Пада-бада-да, падада-дадам
Никогда! Пада-бада-да, падада-дадам
Никогда! Пада-бада-да, падада-дадам
Никогда!",rock,
