#FORMAT=WebAnno TSV 3.3


#Text=Время в настенных часах.
1-1	0-5	Время	
#Text=Я не так далеко.
31-1	988-989	Я	
31-2	990-992	не	
31-3	993-996	так	
31-4	997-1003	далеко	
31-5	1003-1004	.	

#Text=Я не так далеко.
32-1	1006-1007	Я	
32-2	1008-1010	не	
32-3	1011-1014	так	
32-4	1015-1021	далеко	
32-5	1021-1022	.	

#Text=Я не так далеко …\r
#Text=Я не так далеко.
33-1	1024-1025	Я	
33-2	1026-1028	не	
33-3	1029-1032	так	
33-4	1033-1039	далеко	
33-5	1040-1041	…	
33-6	1043-1044	Я	
33-7	1045-1047	не	
33-8	1048-1051	так	
33-9	1052-1058	далеко	
33-10	1058-1059	.	
