Character1,Character2,MidWithOffLane,MidWithSemiSupport,MidWithFullSupport,MidWithCarry,OffLaneWithMid,OffLaneWithSemiSupport,OffLaneWithFullSupport,OffLaneWithCarry,SemiSupportWithMid,SemiSupportWithOffLane,SemiSupportWithFullSupport,SemiSupportWithCarry,FullSupportWithMid,FullSupportWithOffLane,FullSupportWithSemiSupport,FullSupportWithCarry,CarryWithMid,CarryWithOffLane,CarryWithSemiSupport,CarryWithFullSupport,MidAgainstMid,MidAgainstOffLane,MidAgainstSemiSupport,MidAgainstFullSupport,MidAgainstCarry,OffLaneAgainstMid,OffLaneAgainstOffLane,OffLaneAgainstSemiSupport,OffLaneAgainstFullSupport,OffLaneAgainstCarry,SemiSupportAgainstMid,SemiSupportAgainstOffLane,SemiSupportAgainstSemiSupport,SemiSupportAgainstFullSupport,SemiSupportAgainstCarry,FullSupportAgainstMid,FullSupportAgainstOffLane,FullSupportAgainstSemiSupport,FullSupportAgainstFullSupport,FullSupportAgainstCarry,CarryAgainstMid,CarryAgainstOffLane,CarryAgainstSemiSupport,CarryAgainstFullSupport,CarryAgainstCarry
Dark Willow,Bristleback,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.4601,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401,0.5401
Dark Willow,Weaver,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.4737,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624,0.5624
Dark Willow,Enchantress,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.4844,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484,0.5484
Dark Willow,Hoodwink,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.4679,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284,0.5284
Dark Willow,Gyrocopter,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.4567,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349,0.5349
Dark Willow,Kez,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.4499,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578,0.578
Dark Willow,Batrider,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.4828,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524,0.5524
Dark Willow,Sven,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.4699,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765,0.5765
Dark Willow,Muerta,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.4395,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362
Dark Willow,Mirana,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621,0.5621
