Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Protocol,Class,Interface Type,Output Power,Data Rate,Receiver Sensitivity,Frequency,Operating Supply Voltage,Minimum Operating Temperature,Maximum Operating Temperature,Series,Packaging,Protocol - Bluetooth, BLE - 802.15.1,Protocol - WiFi - 802.11,Protocol - ANT, Thread, Zigbee - 802.15.4,Protocol - Sub GHz
579-RN4871U-V/RM118,RN4871U-V/RM118,Microchip Technology,https://ru.mouser.com/datasheet/2/268/RN4870_71_Data_Sheet_DS50002489E-2005789.pdf,"1,470  In Stock",$9.92,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Microchip-Technology/RN4871U-V-RM118?qs=U58vgkJzipSDEJmj2Mz0yA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RN4871U-V/RM118&utm_content=Microchip-Technology,Bluetooth 4.2,Bluetooth Low Energy (BLE),UART,0 dBm,10 kb/s,- 90 dBm,2.402 GHz to 2.48 GHz,1.9 V to 3.6 V,- 20 C,+ 70 C,RN4871,Tray,BLE,,,,,,
634-BGM121A256V2,BGM121A256V2,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgm12x-datasheet-1666306.pdf,"1,657  In Stock",$12.68,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGM121A256V2?qs=8HqIXBaaO6wQu07uJLKnJQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGM121A256V2&utm_content=Silicon-Labs,Bluetooth 4.2,Bluetooth Low Energy (BLE),"GPIO, I2C, SPI, UART, USART",8 dBm,1 Mb/s,- 90 dBm,2.4 GHz,1.85 V to 3.8 V,- 40 C,+ 85 C,BGM121,Tray,Bluetooth,,,,,,
727-CYBLE-222014-01,CYBLE-222014-01,Cypress Semiconductor,https://ru.mouser.com/datasheet/2/100/002-11186_CYBLE-222014-01_EZ-BLE_PRoC_BT_4.2_Modul-894132.pdf,"1,390  In Stock",$17.83,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBLE-222014-01?qs=etoTMWSvtH8t6Bd40KVoRQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBLE-222014-01&utm_content=Cypress-Semiconductor,Bluetooth 4.2,Bluetooth Low Energy (BLE),"I2C, SPI, UART",3 dBm,1 Mb/s,- 89 dBm,2.4 GHz,1.71 V to 5.5 V,- 40 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
727-CYBLE-212020-01,CYBLE-212020-01,Cypress Semiconductor,https://ru.mouser.com/datasheet/2/100/002-12597_CYBLE-212020-01_EZ-BLE_Creator_Module-1082264.pdf,618  In Stock,$23.13,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Cypress-Semiconductor/CYBLE-212020-01?qs=jFK2DQXLaBwGCoN/lg4R%2Bg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CYBLE-212020-01&utm_content=Cypress-Semiconductor,Bluetooth 4.2,Bluetooth Low Energy (BLE),"I2C, SPI, UART",3 dBm,1 Mb/s,- 87 dBm,2.4 GHz to 2.48 GHz,1.71 V to 5.5 V,- 40 C,+ 85 C,,"Cut Tape, Reel",BLE,,,,,,
963-EYSGCNZWY,EYSGCNZWY,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TY_BLE_Overview_V1_8_20180530-1324501.pdf,"2,006  In Stock",$16.95,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/EYSGCNZWY?qs=5LuraimkrXlLS9oaHePpcw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYSGCNZWY&utm_content=Taiyo-Yuden,Bluetooth 4.2,Bluetooth Low Energy (BLE),"I2C, SPI, UART",4 dBm,1 Mb/s,- 93 dBm,2.4 GHz,1.8 V to 3.6 V,- 25 C,+ 75 C,EYSGCN,"Cut Tape, MouseReel, Reel",Bluetooth,,,,,,
710-2611011024000,2611011024000,Wurth Elektronik,https://ru.mouser.com/datasheet/2/445/2611011024000-1775778.pdf,325  In Stock,$27.00,RoHS Compliant,New At Mouser,https://ru.mouser.com/ProductDetail/Wurth-Elektronik/2611011024000?qs=OlC7AqGiEDkR3eQTvd5/cQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2611011024000&utm_content=Wurth-Elektronik,Bluetooth 5.1,Bluetooth Low Energy (BLE),UART,6 dBm,,- 92 dBm,,,- 40 C,+ 85 C,WIRL-BTLE,"Cut Tape, MouseReel, Reel",BLE,,,,,,
239-BL652-SC-01-T/R,BL652-SC-01-T/R,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/Datasheet___BL652-1590402.pdf,783  In Stock,$14.23,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BL652-SC-01-T-R?qs=LuYMPh7GGMRdvooHRu%2B0Og==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BL652-SC-01-T/R&utm_content=Laird-Connectivity,Bluetooth 4.2,Class 2,"GPIO, I2C, SPI, UART",4 dBm,1 Mb/s,- 96 dBm,2.4 GHz,1.8 V to 3.6 V,- 40 C,+ 85 C,BL65x,"Cut Tape, Reel",BLE,,,NFC,,,
634-BGM123A256V2R,BGM123A256V2R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgm12x-datasheet-1666306.pdf,"2,576  In Stock",$12.14,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGM123A256V2R?qs=8HqIXBaaO6wF54t/hqpFMA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGM123A256V2R&utm_content=Silicon-Labs,Bluetooth 4.2,Bluetooth Low Energy (BLE),,,,,2.4 GHz,,,,BGM123,"Cut Tape, MouseReel, Reel",Bluetooth,,,,,,
239-BL652-SC-01,BL652-SC-01,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/Datasheet___BL652-1590402.pdf,945  In Stock,$16.53,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BL652-SC-01?qs=LuYMPh7GGMTBpPF65qWamA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BL652-SC-01&utm_content=Laird-Connectivity,Bluetooth 5.0,Class 2,"GPIO, I2C, SPI, UART",4 dBm,1 Mb/s,- 96 dBm,2.4 GHz,1.8 V to 3.6 V,- 40 C,+ 85 C,BL65x,Bulk,BLE,,,NFC,,,
239-BT900-SC,BT900-SC,Laird Connectivity,https://ru.mouser.com/datasheet/2/986/Datasheet_(HIG)_-_BT900_Series-1591064.pdf,420  In Stock,$30.81,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Laird-Connectivity/BT900-SC?qs=NCwPlt/wvX8qes9CDELZCg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BT900-SC&utm_content=Laird-Connectivity,Bluetooth 4.0,Bluetooth Low Energy (BLE),"GPIO, I2C, SPI, UART",8 dBm,3 Mb/s,- 90 dBm,2.4 GHz,1.8 V to 3.6 V,- 40 C,+ 85 C,BT900,,Bluetooth,,,,,,
