Work,Alternative Author,Score,Probability
Hypnos_%28short_story%29,Thomas Ligotti,0.32569206,0.5807108
Ibid,Brian Lumley,0.6139948,0.6488515
Idealism_and_Materialism:_A_Reflection,William Hope Hodgson,0.29877156,0.5741422
Imprisoned_with_the_Pharaohs,Thomas Ligotti,0.10463774,0.52613556
In_Memoriam:_Robert_Ervin_Howard,Thomas Ligotti,0.16710615,0.54167956
In_a_Sequesterd_Providence_Churchyard_Where_Once_Poe_Walkd,Thomas Ligotti,0.5575862,0.6358938
In_the_Mind_of_H._P._Lovecraft,Thomas Ligotti,0.43441004,0.60692626
In_the_Vault,Thomas Ligotti,0.29347664,0.57284707
Journey_Into_Mystery_Vol_2_4,Thomas Ligotti,0.406204,0.6001773
June_Skies,Brian Lumley,0.5830612,0.6417715
Lament_for_the_Vanished_Spider,Brian Lumley,0.38365304,0.59475386
Les_contr%C3%A9es_du_r%C3%AAve,Thomas Ligotti,0.3953227,0.5975634
Life_for_Humanitys_Sake,Brian Lumley,0.6453092,0.65595263
Literary_Composition,Thomas Ligotti,0.20855166,0.55194974
Littlest_Lovecraft:_The_Call_of_Cthulhu,Brian Lumley,0.25077328,0.56236684
Littlest_Lovecraft:_The_Dreamlands_Collection,Brian Lumley,0.5554542,0.6354001
Littlest_Lovecraft:_The_Dunwich_Horror,Thomas Ligotti,0.4941598,0.6210859
Littlest_Lovecraft:_The_Shadow_Over_Innsmouth,Thomas Ligotti,0.55525947,0.63535494
Los_mitos_de_Cthulhu,Thomas Ligotti,0.438605,0.60792655
Lovecraft:_The_Myth_of_Cthulhu,Brian Lumley,1.2993506,0.78572565
Lovecraft_Comics_%28J._Scott_Vanlester%29,Thomas Ligotti,0.8846139,0.70777744
Lovecrafts_The_Alchemist,Brian Lumley,0.6023747,0.6461994
Lovecrafts_The_Beast_in_the_Cave,Thomas Ligotti,0.31083605,0.5770893
Marginalia,Thomas Ligotti,0.6198075,0.65017474
May_Skies,Brian Lumley,0.58888924,0.6431103
Memory,Brian Lumley,0.67956305,0.6636412
Metrical_Regularity,Thomas Ligotti,0.34684467,0.5858522
Miscellaneous_Writings,Brian Lumley,0.22025871,0.5548431
More_Annotated_H._P._Lovecraft,Thomas Ligotti,0.115570806,0.52886057
My_Favorite_Character,Thomas Ligotti,0.23931128,0.5595439
Mythos:_Lovecrafts_Worlds,Thomas Ligotti,0.57796186,0.6405983
Nathicana,Brian Lumley,0.8612863,0.7029293
Nemesis,Brian Lumley,0.93712986,0.71851957
Nietzscheism_and_Realism,Brian Lumley,0.2616389,0.5650391
Notes_on_Writing_Weird_Fiction,Thomas Ligotti,0.4999136,0.622439
November_Skies,Brian Lumley,0.6064382,0.64712787
Nyarlathotep_%282007_comic_book%29,Brian Lumley,0.6787483,0.6634593
Nyarlathotep_%28short_story%29,Thomas Ligotti,0.42749488,0.60527533
October,Frank Belknap Long,0.9814188,0.72738963
Old_Bugs,Brian Lumley,0.7069643,0.66973007
On_The_Thing_in_the_Woods_by_Harper_Williams,Brian Lumley,0.591572,0.64372575
On_a_Grecian_Colonnade_in_a_Park,Frank Belknap Long,-0.024638275,0.49384075
Phaeton,Brian Lumley,0.8950981,0.7099411
Pickmans_Model,Brian Lumley,0.36862957,0.59112775
Polaris,Brian Lumley,0.9367414,0.71844095
Primavera,Brian Lumley,0.4735546,0.6162247
Psychopompos,Brian Lumley,0.5933512,0.6441336
Psychopompos_%28Pickmans_Press%29,Thomas Ligotti,0.22481188,0.55596745
Regnar_Lodbrugs_Epicedium,Thomas Ligotti,0.5437076,0.63267446
Satans_Servants,Brian Lumley,0.55729914,0.63582736
Saturnalia_and_Other_Poems_by_H._P._Lovecraft,Thomas Ligotti,0.31464577,0.57801884
Selected_Essays_Volume_I,Thomas Ligotti,0.5025977,0.6230696
Selected_Letters_of_H._P._Lovecraft,Brian Lumley,0.5014188,0.6227927
Shadow_From_the_Abyss,Brian Lumley,0.6901699,0.6660047
Some_Dutch_Footprints_in_New_England,Thomas Ligotti,0.3531209,0.5873742
Some_Notes_on_Interplanetary_Fiction,Brian Lumley,0.7109794,0.6706175
Something_About_Cats,Brian Lumley,0.79130876,0.68811226
Sunset,Frank Belknap Long,0.8505142,0.700675
Supernatural_Horror_in_Literature,Brian Lumley,0.7762803,0.6848779
Tales_of_H._P._Lovecraft,Brian Lumley,0.63045263,0.65259206
The_Alchemist,Brian Lumley,0.7695867,0.68343145
The_Allowable_Rhyme,Brian Lumley,0.05966251,0.51491123
The_Ancient_Track,Brian Lumley,0.22319746,0.5555689
The_Ancient_Track:_The_Complete_Poetical_Works_of_H._P._Lovecraft,Thomas Ligotti,0.5917681,0.6437707
The_Antarctic_Express,Brian Lumley,0.5417106,0.63221025
The_Battle_that_Ended_the_Century,Thomas Ligotti,0.30074802,0.5746254
The_Beast_in_the_Cave,Brian Lumley,0.35139138,0.58695495
The_Best_of_H._P._Lovecraft:_Bloodcurdling_Tales_of_Horror_and_the_Macabre,Thomas Ligotti,0.2684775,0.5667191
The_Book,Brian Lumley,0.51042205,0.6249054
The_Californian:_1934-1938,Brian Lumley,0.9549023,0.72209996
The_Call_of_Cthulhu,Robert E. Howard,0.13932176,0.5347742
The_Call_of_Cthulhu_%28J._Scott_Vanlester%29,Thomas Ligotti,0.19976011,0.54977465
The_Call_of_Cthulhu_and_Other_Weird_Stories,Brian Lumley,0.72141427,0.6729184
The_Case_of_Charles_Dexter_Ward,Brian Lumley,0.7956971,0.6890533
The_Cats_of_Ulthar,Thomas Ligotti,0.18559757,0.5462667
The_City,Brian Lumley,0.76500237,0.6824388
The_Colour_Out_of_Space,Thomas Ligotti,0.73968554,0.6769271
The_Crime_of_the_Century,Brian Lumley,0.6878037,0.66547817
The_Dark_Brotherhood,Brian Lumley,0.4006061,0.59883326
The_Descendant,Thomas Ligotti,0.3274709,0.58114386
The_Despised_Pastoral,Thomas Ligotti,0.37432736,0.5925042
The_Doom_That_Came_to_Sarnath,Brian Lumley,0.7435842,0.67777914
The_Doom_that_Came_to_Sarnath_%281971_collection%29,Brian Lumley,0.8806261,0.7069519
The_Dream-Quest_of_Unknown_Kadath,Robert E. Howard,0.11951011,0.529842
The_Dream-Quest_of_Unknown_Kadath_and_Other_Stories,Brian Lumley,0.7662326,0.68270534
The_Dream_Cycle_of_H._P._Lovecraft:_Dreams_of_Terror_and_Death,Brian Lumley,0.65697163,0.65857977
The_Dreams_in_the_Witch-House,Brian Lumley,0.48741543,0.6194974
The_Dreams_in_the_Witch_House_and_Other_Weird_Stories,Thomas Ligotti,0.41681507,0.6027209
The_Dunwich_Horror,Brian Lumley,0.4674174,0.6147723
The_Dunwich_Horror_%281979_comic%29,Brian Lumley,0.5690422,0.6385422
The_Dunwich_Horror_and_Other_Weird_Tales,Thomas Ligotti,0.52501506,0.6283197
The_Dunwich_Horror_and_Others,Thomas Ligotti,0.31847677,0.57895297
The_Eidolon,Thomas Ligotti,0.18877426,0.54705393
The_Evil_Clergyman,Brian Lumley,0.3712825,0.59176886
The_Fantastic_Poetry,Brian Lumley,0.42656296,0.6050526
The_Festival,Brian Lumley,0.1810745,0.54514533
The_Ghost-Eater,Brian Lumley,0.60925263,0.6477703
The_Haunter_of_the_Dark,Brian Lumley,0.5318025,0.62990344
The_Haunter_of_the_Dark:_Collected_Short_Stories_Volume_Three,Brian Lumley,0.75748163,0.68080676
The_Haunter_of_the_Dark_%281975_comic%29,Thomas Ligotti,0.5870296,0.64268327
The_Hoard_of_the_Wizard-Beast_and_One_Other,Brian Lumley,0.27625027,0.56862664
The_Horror_at_Martins_Beach,Brian Lumley,0.031211277,0.5078022
The_Horror_at_Red_Hook,Brian Lumley,0.38021356,0.59392464
The_Horror_from_the_Middle_Span,Brian Lumley,0.4119575,0.60155714
The_Horror_in_the_Museum:_Collected_Short_Stories_Volume_Two,Thomas Ligotti,0.5945325,0.6444044
The_Hound_%28short_story%29,Brian Lumley,0.32768294,0.5811955
The_Literature_of_Rome,Brian Lumley,0.6684623,0.6611588
The_Little_Glass_Bottle,Brian Lumley,0.24022138,0.5597682
The_Lovecraft_Anthology:_Volume_II,Thomas Ligotti,0.3311998,0.5820513
The_Lovecraft_Library_Volume_1:_Horror_Out_of_Arkham,Brian Lumley,0.7145872,0.67141396
The_Lovecraft_Library_Volume_2:_The_Call_of_Cthulhu_and_Other_Mythos_Tales,Thomas Ligotti,0.37077093,0.59164524
The_Loved_Dead,Brian Lumley,0.6948173,0.66703767
The_Lurker_at_the_Threshold,Brian Lumley,0.5548458,0.6352591
The_Lurking_Fear,Thomas Ligotti,0.39720035,0.59801483
The_Lurking_Fear:_Collected_Short_Stories_Volume_Four,Brian Lumley,0.868864,0.70450926
