,ID  объявления,Адрес квартиры,Широта,Долгота,Расстояние до a1,Расстояние до a2,Расстояние до a3,Расстояние до a4,Расстояние до a5,Расстояние до a6,Расстояние до a7,Расстояние до a8,Расстояние до a9,Расстояние до a10
0,245898592,"Санкт-Петербург, Социалистическая улица, 21",59.9201161,30.34628606268987,4.520941213423357,7.864441738583585,3.6598375809143793,5.501234540994948,11.49513253028868,13.30842272024626,14.934902664205296,11.54825302498281,10.78247972002435,1.3216292197971728
1,251716893,"Санкт-Петербург, улица Салова, 61",59.884979,30.368163284758417,8.595025243985598,11.93799857314712,1.3617250808792978,8.523931574896183,7.508797940866742,16.786039532588944,18.948659234159887,8.01057877879264,14.727227547388278,5.316017274058265
2,254788472,"Санкт-Петербург, улица Салова, 61",59.884979,30.368163284758417,8.595025243985598,11.93799857314712,1.3617250808792978,8.523931574896183,7.508797940866742,16.786039532588944,18.948659234159887,8.01057877879264,14.727227547388278,5.316017274058265
3,229664813,"Санкт-Петербург, улица Салова, 61",59.884979,30.368163284758417,8.595025243985598,11.93799857314712,1.3617250808792978,8.523931574896183,7.508797940866742,16.786039532588944,18.948659234159887,8.01057877879264,14.727227547388278,5.316017274058265
4,251716895,"Санкт-Петербург, улица Салова, 61",59.884979,30.368163284758417,8.595025243985598,11.93799857314712,1.3617250808792978,8.523931574896183,7.508797940866742,16.786039532588944,18.948659234159887,8.01057877879264,14.727227547388278,5.316017274058265
5,251716888,"Санкт-Петербург, улица Салова, 61",59.884979,30.368163284758417,8.595025243985598,11.93799857314712,1.3617250808792978,8.523931574896183,7.508797940866742,16.786039532588944,18.948659234159887,8.01057877879264,14.727227547388278,5.316017274058265
6,253953909,"Санкт-Петербург, проспект Королева, 69",,,,,,,,,,,,
7,253482530,"Санкт-Петербург, Яхтенная улица, 34",60.0041395,30.2232366,7.197735924307623,4.143488582278546,14.672081419444087,11.430954220425507,22.331314119659954,11.661615892127971,8.037292138191104,23.131373479458777,0.8324501487968669,10.729275057525067
8,251117401,"Санкт-Петербург, Ушаковская набережная, 1к4",59.9824828,30.3072718,2.909137908765444,1.234144544925423,10.806399819871995,6.158528005429567,18.695702491376426,8.617059691175017,8.03190943360914,18.41596438412656,4.5250469156097255,6.130215756442716
9,241099436,"Санкт-Петербург, улица Салова, 61",59.884979,30.368163284758417,8.595025243985598,11.93799857314712,1.3617250808792978,8.523931574896183,7.508797940866742,16.786039532588944,18.948659234159887,8.01057877879264,14.727227547388278,5.316017274058265
10,251716900,"Санкт-Петербург, улица Салова, 61",59.884979,30.368163284758417,8.595025243985598,11.93799857314712,1.3617250808792978,8.523931574896183,7.508797940866742,16.786039532588944,18.948659234159887,8.01057877879264,14.727227547388278,5.316017274058265
11,241099437,"Санкт-Петербург, улица Салова, 61",59.884979,30.368163284758417,8.595025243985598,11.93799857314712,1.3617250808792978,8.523931574896183,7.508797940866742,16.786039532588944,18.948659234159887,8.01057877879264,14.727227547388278,5.316017274058265
12,253724785,"Санкт-Петербург, Октябрьская набережная, 44",59.89414225,30.44786172857011,10.36678155845052,13.498555888895412,5.849147279215516,7.572854378491013,9.601262073631206,15.526398408430861,19.015553208422634,6.03616564296859,16.716955938498156,6.895057683955468
13,249196740,"Санкт-Петербург, улица Салова, 61",59.884979,30.368163284758417,8.595025243985598,11.93799857314712,1.3617250808792978,8.523931574896183,7.508797940866742,16.786039532588944,18.948659234159887,8.01057877879264,14.727227547388278,5.316017274058265
14,254894133,"Санкт-Петербург, Киевская улица, 5к7",,,,,,,,,,,,
15,252039961,"Санкт-Петербург, проспект Славы, 55",59.864733650000005,30.414371859193302,11.762053777442514,15.095674641176014,4.66075548920369,10.505220933022581,5.831636149706718,18.754744107709232,21.618100355517214,4.605780139867356,18.022802006836553,8.295285620415601
16,255122629,"Санкт-Петербург, Аптекарский проспект, 18",59.9751191,30.3177922,2.1280229343403843,2.0521266625002554,9.89750611122233,5.301087011743873,17.785523825868065,8.766662754314352,8.788403982908907,17.40836294362307,5.411990788779784,5.150275636275527
17,240827604,"Санкт-Петербург, улица Академика Павлова, 7",59.97774025,30.31420537070366,2.38736415386787,1.7462163411668985,10.217415114193418,5.592351537832706,18.106795479128074,8.694105562675803,8.512353447098311,17.762269811635985,5.098920840862594,5.494658476372968
18,206959908,"Санкт-Петербург, Красное Село, улица Первого Мая, 3",59.73065705,30.099430046980963,27.786566669345003,30.058015899103484,22.21039131152444,30.729950278868458,17.985640201758606,38.28102433120725,38.207136784134605,24.99719513999384,30.74163512045684,26.456079121974067
19,249978446,"Санкт-Петербург, Ленинский проспект, 45к1",59.8517915,30.2701908,11.867860251042465,14.724254905207793,5.732301694084567,14.184494477905208,6.734541639995693,21.948154519721488,22.73935111301055,12.052382954875247,16.461154285964476,9.24345565392431
20,254417554,"Санкт-Петербург, Смольный проспект, 6",59.9449684,30.394000859030033,4.85791472622321,7.451092176471889,7.003025450619735,1.720527286162953,14.259821120231413,9.951799430133216,12.681393535998616,12.419351498721978,10.796736940430222,2.8581910569159152
21,254638776,"Санкт-Петербург, пос. Шушары, улица Валдайская, 6к2",,,,,,,,,,,,
22,254979752,"Санкт-Петербург, Парашютная улица, 44к1",,,,,,,,,,,,
23,255187266,"Санкт-Петербург, проспект Ветеранов, 171к5",,,,,,,,,,,,
24,254202789,"Санкт-Петербург, бульвар Александра Грина, 3",59.9366644,30.2044211,6.303675275686902,6.92258225380405,9.565382133521261,11.593853281464408,16.16113270614533,16.302760939956606,14.757658471223074,18.823907851672207,7.049208014225779,8.162563056865768
