artist,song,chordAbs,chordRel,link,keyTonic,keyScale
Bryan Adams,Everything I Do,"['Ebm', 'Db/F', 'Ebm/Gb', 'Db/Ab', 'Ab', 'Db', 'Db', 'Ab', 'Gb', 'Ab', 'Db', 'Ab', 'Gb', 'Db', 'Ab']","['ii', 'I6', 'ii6', 'I64', 'V', 'I', 'I', 'V', 'IV', 'V', 'I', 'V', 'IV', 'I', 'V']",/theorytab/view/bryan-adams/everything-i-do,Db,major
Bryan Adams,Run To You,"['F#m', 'A', 'E', 'B', 'F#m', 'A', 'E', 'B', 'F#m', 'A', 'E', 'B', 'F#m', 'A', 'E']","['i', 'III', 'VII', 'IV', 'i', 'III', 'VII', 'IV', 'i', 'III', 'VII', 'IV', 'i', 'III', 'VII']",/theorytab/view/bryan-adams/run-to-you,F#,minor
Bryan Adams,Summer of 69,"['D', 'D', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'F', 'Bb', 'C', 'Bb/D', 'F', 'Bb', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'D', 'A', 'A']","['I', 'I', 'I', 'I', 'V', 'V', 'I', 'I', 'V', 'V', 'I', 'I', 'V', 'V', 'I', 'I', 'V', 'V', 'I', 'IV', 'V', 'IV6', 'I', 'IV', 'V', 'I', 'I', 'V', 'V', 'I', 'I', 'V', 'V', 'vi', 'V', 'I', 'IV', 'vi', 'V', 'I', 'IV', 'vi', 'V', 'I', 'I', 'V', 'V']",/theorytab/view/bryan-adams/summer-of-69,D,major
BtoB,Missing You,"['G', 'D', 'G', 'G', 'G', 'D', 'D', 'G', 'Em', 'Am', 'D', 'G', 'G', 'Am']","['I', 'V', 'I', 'I', 'I', 'V', 'V', 'I', 'vi', 'ii', 'V', 'I', 'I', 'ii']",/theorytab/view/btob/missing-you,G,major
Buddy Holly,Everyday,"['Eb', 'Cm', 'Ab', 'Bb7', 'Eb', 'Cm', 'Ab', 'Bb7', 'Eb', 'Cm', 'Ab', 'Bb7', 'Eb', 'Ab', 'Eb', 'Bb', 'Ab', 'Db', 'Gb', 'Cb', 'Bb', 'Bb7']","['I', 'vi', 'IV', 'V7', 'I', 'vi', 'IV', 'V7', 'I', 'vi', 'IV', 'V7', 'I', 'IV', 'I', 'V', 'IV', 'bVII', 'bIII', 'bVI', 'V', 'V7']",/theorytab/view/buddy-holly/everyday,Eb,major
Buddy Holly,Maybe Baby,"['A', 'F#m', 'A', 'F#m', 'A', 'D', 'E', 'A', 'D', 'E', 'D', 'A', 'D', 'E']","['I', 'vi', 'I', 'vi', 'I', 'IV', 'V', 'I', 'IV', 'V', 'IV', 'I', 'IV', 'V']",/theorytab/view/buddy-holly/maybe-baby,A,major
Buddy Holly,Peggy Sue,"['A', 'D', 'A', 'D', 'A', 'D', 'A', 'D', 'A', 'E', 'E', 'D', 'A', 'D', 'A', 'E', 'A', 'F', 'A', 'D', 'A', 'D', 'A', 'E', 'D', 'A', 'D', 'A', 'E']","['I', 'IV', 'I', 'IV', 'I', 'IV', 'I', 'IV', 'I', 'V', 'V', 'IV', 'I', 'IV', 'I', 'V', 'I', 'bVI', 'I', 'IV', 'I', 'IV', 'I', 'V', 'IV', 'I', 'IV', 'I', 'V']",/theorytab/view/buddy-holly/peggy-sue,A,major
Buddy Holly,That'll Be The Day,"['D', 'A', 'D', 'A', 'D', 'A', 'B', 'E7']","['IV', 'I', 'IV', 'I', 'IV', 'I', 'V', 'V7']",/theorytab/view/buddy-holly/thatll-be-the-day,A,major
Buffalo Springfield,For What It's Worth,"['E', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'D', 'A', 'C', 'E']","['I', 'IV', 'I', 'IV', 'I', 'IV', 'I', 'IV', 'I', 'bVII', 'IV', 'bVI', 'I']",/theorytab/view/buffalo-springfield/for-what-its-worth,E,major
Built To Spill,Carry The Zero,"['Amaj7', 'E', 'B9', 'F#m', 'Amaj7', 'E', 'B9', 'F#m', 'Amaj7', 'E', 'B9', 'F#m', 'Amaj7', 'E', 'B9', 'F#m']","['IV7', 'I', 'V9', 'ii', 'IV7', 'I', 'V9', 'ii', 'IV7', 'I', 'V9', 'ii', 'IV7', 'I', 'V9', 'ii']",/theorytab/view/built-to-spill/carry-the-zero,E,major
Built to Spill,I Would Hurt a Fly,"['Eb7', 'Gm', 'Eb7', 'Gm', 'Bb', 'Eb', 'F7', 'Bb', 'D7', 'Gm', 'F', 'C7']","['bVII7', 'ii', 'bVII7', 'ii', 'IV', 'bVII', 'V7', 'IV', 'V7', 'ii', 'I', 'V7']",/theorytab/view/built-to-spill/i-would-hurt-a-fly,F,major
Bullet For My Valentine,Your Betrayal,"['Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Bb', 'Ab', 'Ab', 'Ab', 'Ab', 'Ab', 'Bb', 'Bb', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm7', 'Bb', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm', 'Cm7', 'Bb', 'Cm', 'Cm']","['i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'VII', 'VI', 'VI', 'VI', 'VI', 'VI', 'VII', 'VII', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i7', 'VII', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i7', 'VII', 'i', 'i']",/theorytab/view/bullet-for-my-valentine/your-betrayal,C,minor
Bush,Glycerine,"['F', 'C', 'Dm', 'Bb', 'F', 'C', 'Dm', 'Bb']","['I', 'V', 'vi', 'IV', 'I', 'V', 'vi', 'IV']",/theorytab/view/bush/glycerine,F,major
Bush,Greedy Fly,"['Cm', 'Cm', 'Cm', 'Cm', 'Eb', 'Eb', 'Eb', 'Eb', 'Cm', 'Cm', 'Cm', 'Cm', 'Eb', 'Eb', 'Eb', 'Eb']","['i', 'i', 'i', 'i', 'III', 'III', 'III', 'III', 'i', 'i', 'i', 'i', 'III', 'III', 'III', 'III']",/theorytab/view/bush/greedy-fly,C,minor
Buzzcocks,Ever Fallen In Love,"['C#m', 'B', 'B/D#', 'C#m', 'B', 'B/D#', 'D', 'A', 'B', 'E', 'B', 'B', 'E', 'B']","['vi', 'V', 'V6', 'vi', 'V', 'V6', 'bVII', 'IV', 'V', 'I', 'V', 'V', 'I', 'V']",/theorytab/view/buzzcocks/ever-fallen-in-love,E,major
Buzzcocks,Smash Ya Pastie,"['A', 'A', 'A', 'D', 'D', 'A', 'A', 'A', 'D', 'D', 'A', 'A', 'A', 'D', 'D', 'A', 'A', 'A', 'D', 'D']","['I', 'I', 'I', 'IV', 'IV', 'I', 'I', 'I', 'IV', 'IV', 'I', 'I', 'I', 'IV', 'IV', 'I', 'I', 'I', 'IV', 'IV']",/theorytab/view/buzzcocks/smash-ya-pastie,A,major
C2C,Down The Road,"['Gm', 'Dm/F', 'Em', 'Eb', 'Gm', 'Dm/F', 'Em', 'Eb', 'D', 'Gm', 'Dm/F', 'Em', 'Eb', 'Gm', 'Dm/F', 'Em', 'Eb', 'D']","['i', 'v6', '#vi', 'VI', 'i', 'v6', '#vi', 'VI', 'V', 'i', 'v6', '#vi', 'VI', 'i', 'v6', '#vi', 'VI', 'V']",/theorytab/view/c2c/down-the-road,G,minor
C2C,The Beat,"['Bbm', 'Db', 'Ab', 'Bbm', 'Bbm', 'Db', 'Ab', 'Bbm']","['i', 'III', 'VII', 'i', 'i', 'III', 'VII', 'i']",/theorytab/view/c2c/the-beat,Bb,minor
C418,Acid,"['Bb', 'F']","['I', 'V']",/theorytab/view/c418/acid,Bb,lydian
C418,Alpha,"['F', 'Am/E', 'F', 'Am/E', 'Am/C', 'Ebmaj7/G', 'C7sus4', 'Eb(add9)', 'Bb7/Ab', 'Bb7sus2/Ab', 'Cm7', 'Bb/D', 'Ebmaj7', 'Eb/G', 'Gm/F', 'Dbmaj7', 'Cm/Eb', 'Gm', 'Am7(add11)', 'Bbmaj7sus2', 'Dm7', 'Am/C', 'Bbmaj9(#11)', 'Fmaj7sus2', 'Gm', 'Am11(b9)', 'Bbmaj7sus2', 'Dm7', 'Am/C', 'Bbmaj9(#11)', 'Fmaj7', 'Gm', 'Am11(b9)', 'Bbsus2', 'Dm7', 'Am/C', 'Bbmaj9(#11)', 'Fmaj7sus2', 'Gm', 'Am11(b9)', 'Bbmaj9', 'Dm7', 'Am/C', 'Bbmaj9(#11)', 'Fmaj7sus2', 'Gm', 'Am11(b9)', 'Bbmaj7sus2', 'Dm7', 'C', 'Cm9', 'Bbmaj7/D', 'Ebmaj9', 'Ebmaj13(#11)', 'Gm9', 'Cm9', 'Dm7', 'Ebmaj9', 'Ebmaj13(#11)', 'Eb/F', 'Dm7', 'F6', 'Gm', 'Gm(add9)', 'Gm7(add11)', 'Gm(add9)', 'Ebmaj7/G', 'Gm7(addb13)', 'Gm(add9)', 'Gm(add9add11)', 'Gm(add9)', 'Ebmaj7/G', 'Gm7(addb13)', 'Gm(add9)', 'Gm(add11)', 'Ebmaj7(add#11)', 'Ebmaj7/G', 'Gm7(addb13)', 'Gm9', 'Gm', 'Gm9', 'Ebmaj7', 'Cm11', 'Dm', 'Ebmaj9(add13)', 'Ebmaj7', 'F7(add11)', 'Gm11', 'Gm7', 'Ebmaj9', 'Gm', 'Fm6', 'Ebmaj9', 'Cm(add9add11)/Eb', 'Ebmaj7', 'Am7(add11)(b5)/Eb', 'Cm(add11)/Eb', 'Eb6(add11)', 'Gm11', 'Gm7', 'Fm6', 'Ebmaj9', 'Cm(add9add11)/Eb', 'Ebmaj9', 'Am7(add11addb13)(b5)/Eb', 'Cm(add9add11)/Eb', 'Ebmaj9', 'Gm9', 'Bb7(add13)/F', 'Cm11', 'Gm7/D', 'Ebmaj9(add13)', 'Ebmaj9', 'Bb', 'Ebmaj7', 'Gm7', 'F', 'Bb', 'Ebmaj7', 'Gm7', 'F', 'Gm', 'D/F#', 'Bbmaj7/F', 'Gm', 'Ebmaj7(add13)', 'Cm(add11)/Eb', 'Eb', 'Eb', 'F', 'F/A', 'Bb', 'Eb', 'Bb', 'Bbmaj7sus2', 'Bb', 'Gm(add11)/Bb', 'Bb', 'Eb', 'Bb', 'Bbmaj9', 'Bbmaj7sus2', 'Gm', 'D/F#', 'Bbmaj7/F', 'Gm7', 'C/E', 'C(add9)', 'Ebmaj7', 'Dm7', 'D/F#', 'Fsus2', 'Gm(add9)/Bb', 'Gm(add9add11)/Bb', 'F(add9)/A', 'Ebmaj7', 'Bb', 'Bb(add9)', 'F(add9)/A', 'Eb', 'Ebmaj7', 'Gm7', 'Dm7/A', 'Bb', 'Bb(add9)', 'Ebmaj7', 'Ebmaj9(add13)', 'Gm7', 'Dm7/A', 'Em7(addb13)(b5)', 'Ebmaj7', 'F', 'Eb', 'Bb', 'F/A', 'Eb', 'Bb', 'F/A', 'Eb', 'Dm', 'Gm(add9)/Bb', 'F(add9)/A', 'Bbmaj7', 'Gm(add9)/Bb', 'Am7', 'Bbmaj9', 'Gm(add9)', 'Gsus2sus4', 'G7sus2sus4', 'Gm(add9)/Bb', 'C6']","['I', 'iii64', 'I', 'iii64', 'iii6', 'IV65', 'ii7sus4', 'IV(add9)', 'I42', 'I42sus2', 'ii7', 'I6', 'IV7', 'IV6', 'vi42', 'bIII7', 'ii6', 'i', 'ii7(add11)', 'III7sus2', 'v7', 'ii6', 'III11', 'VII7sus2', 'i', 'ii11', 'III7sus2', 'v7', 'ii6', 'III11', 'VII7', 'i', 'ii11', 'IIIsus2', 'v7', 'ii6', 'III11', 'VII7sus2', 'i', 'ii11', 'III9', 'v7', 'ii6', 'III11', 'VII7sus2', 'i', 'ii11', 'III7sus2', 'v7', 'IV', 'iv9', 'III65', 'VI9', 'VI13', 'i9', 'iv9', 'v7', 'VI9', 'VI13', 'VII11', 'v7', 'v65', 'i', 'i(add9)', 'i7(add11)', 'i(add9)', 'VI65', 'i7(add13)', 'i(add9)', 'i(add9add11)', 'i(add9)', 'VI65', 'i7(add13)', 'i(add9)', 'i(add11)', 'VI7(add11)', 'VI65', 'i7(add13)', 'i9', 'i', 'i9', 'VI7', 'iv11', 'v', 'VI9(add13)', 'VI7', 'VII7(add11)', 'i11', 'i7', 'IV9', 'vi', 'iiiø65', 'IV9', 'ii6(add9add11)', 'IV7', 'viiø43(add11)', 'ii6(add11)', 'ii65(add11)', 'vi11', 'vi7', 'iiiø65', 'IV9', 'ii6(add9add11)', 'IV9', 'viiø43(add11add13)', 'ii6(add9add11)', 'IV9', 'vi9', 'V43(add13)', 'ii11', 'vi43', 'IV9(add13)', 'IV9', 'I', 'IV7', 'vi7', 'V', 'I', 'IV7', 'vi7', 'V', 'vi', 'V6', 'I43', 'vi', 'IV7(add13)', 'ii6(add11)', 'IV', 'IV', 'V', 'V6', 'I', 'IV', 'I', 'I7sus2', 'I', 'vi6(add11)', 'I', 'IV', 'I', 'I9', 'I7sus2', 'vi', 'V6', 'I43', 'vi7', 'II6', 'II(add9)', 'IV7', 'iii7', 'V6', 'Vsus2', 'vi6(add9)', 'vi6(add9add11)', 'V6(add9)', 'IV7', 'I', 'I(add9)', 'V6(add9)', 'IV', 'IV7', 'vi7', 'iii43', 'I', 'I(add9)', 'IV7', 'IV9(add13)', 'vi7', 'iii43', '#ivø7(add13)', 'IV7', 'V', 'IV', 'I', 'V6', 'IV', 'I', 'V6', 'IV', 'iii', 'ii6(add9)', 'I6(add9)', 'IV7', 'ii6(add9)', 'iii7', 'IV9', 'ii(add9)', 'iisus2sus4', 'ii7sus2sus4', 'ii6(add9)', 'iii65']",/theorytab/view/c418/ward,F,major
