start_time,end_time,label
0.0,18.85821761844962,Positive
18.85821761844962,22.584111288556738,Negative
22.584111288556738,48.11338273188331,Positive
48.11338273188331,51.287292154567155,Negative
51.287292154567155,63.70693772159089,Positive
63.70693772159089,73.7806502370657,Negative
73.7806502370657,142.50268904126372,Positive
142.50268904126372,156.96041257302585,Negative
156.96041257302585,171.7992931769165,Positive
171.7992931769165,180.50575863107986,Negative
180.50575863107986,193.21027969605473,Positive
193.21027969605473,195.1413668979309,Negative
195.1413668979309,212.92769638889573,Positive
212.92769638889573,219.33077500564306,Negative
219.33077500564306,250.2297425671309,Positive
250.2297425671309,253.1771914538011,Negative
253.1771914538011,258.15736371058864,Positive
258.15736371058864,262.83262746185864,Negative
262.83262746185864,271.77661029037506,Positive
271.77661029037506,278.6878697487742,Negative
278.6878697487742,297.38892475385404,Positive
297.38892475385404,304.401820380759,Negative
304.401820380759,315.0736180738752,Positive
315.0736180738752,316.1916159274397,Negative
316.1916159274397,333.3333333333333,Positive
