Id;Name
494;Studio Take Off
511;Wonder Kids
513;Nikkatsu
515;Fairy Dust
521;Anpro
523;SBS TV Production
525;KAGAYA Studio
527;Higa Brothers Production
529;Lapis
531;Elevenarts
533;N&G Production
535;Knack Animation
537;SANZIGEN
541;Seven
545;Studio Deva Loka
551;Crossphere
553;Marvy Jack
555;Studio Chizu
559;Purple Cow Studio Japan
563;LandQ studios
565;LMD
567;D.A.S.T.
569;MAPPA
575;Katsudou-manga-kan
577;Tohokushinsha Film Corporation
581;Sparky Animation
583;Annapuru
585;Arplants
587;Tomason
589;Academy Productions
591;Romanov Films
593;Egg
595;NYAV Post
601;ixtl
605;C2C
607;RAMS
629;Studio Sign
675;Yomiuri Advertising
715;Dwango
717;TV Tokyo Music
721;GANSIS
723;Hotline
741;Toshiba Entertainment
751;Marvelous AQL
753;PRA
757;Sony Music Entertainment
765;Sakura Create
771;Kyokuichi Tokyo Movie Shinsha
781;Studio NOA
787;Happinet Pictures
789;BIGLOBE
793;Glams
795;Yahoo! Japan
799;indigo line
803;Trigger
805;AIC Frontier
819;Next Media Animation
825;Fifth Avenue
827;Amber Film Works
829;Studio Jack
831;Otogi Production
833;Kyotoma
839;LIDENFILMS
848;Kazami Gakuen Koushiki Douga-bu
850;Kenji Studio
852;Nexus
856;Charaction
858;Wit Studio
860;Triple X
866;Fanworks
878;An DerCen
884;Strawberry Meets Pictures
886;Cinema Tohoku
890;Karaku
892;NOTTV
894;Graphinica
896;Larx Entertainment
898;I.Gzwei
899;Tokyo Animation Film
905;Tokuma Japan
907;AYCO
909;Studio Kelmadick
911;Passione
917;Takahashi Studio
919;Ankama
921;Dynamic Planning
923;CyberStep
927;Dibetagurashi Production Committee
929;Animation Do
931;Poncotan
937;Studio Kaab
939;Tama Production
945;Vasoon Animation
949;teamKG
951;NAZ
957;Connect
959;Studio Compile
971;Anime R
973;Studio Liberty
979;SPEED
983;Daiko
985;P Productions
987;Creative Bridge
989;Nihon Hoso Eigasha
991;" Hoso Seisaku Doga"
995;Coamix
997;Maxell E-Cube
999;Studio Animal
1001;Kyodo Eiga
1003;Nippon Television Network Corporation
1005;Oddjob
1009;Aubec
1013;Opera House
1015;T.O Entertainment
1017;Liverpool
1019;Himeyuri Alumnae Incorporated Foundation
1021;ASIA Documentary Productions
1023;Polygon Pictures
1025;Dongwoo A&E
1029;BeeWorks
1031;Universal Radio Studio
1033;Studio Colorido
1037;Japan Vistec
1043;Benesse Corporation
1045;Space Neko Company
1049;PoPoCo
1053;Production IMS
1055;Yamamura Animation, Inc.
1057;Kyowa Film
1059;Studio Nem
1061;Project Team Eikyuu Kikan
1063;Calf Studio
1065;Public & Basic
1067;Rising Force
1071;Studio Lotus
1073;Magic Lantern Film
1075;C-Station
1077;MMDGP
1079;3xCube
1083;Aikikaku Center
1087;Lay-duce
1089;Studio Zain
1091;Gakken Eigakyoku
1099;Cyclone Graphics
1101;Lambert
1103;TROYCA
1105;Gendai Production
1109;Orange
1111;DandeLion Animation Studio
1115;Studio Korumi
1119;Shuka
1121;Banpresto
1125;Tsubu Doll Production Committee
1127;Studio 3Hz
1129;Pierrot Plus
1131;Zero-G Room
1133;dwarf
1135;FOREST Hunting One
1137;SEK Studios
1143;TOHO animation
1147;Shinano Kikaku
1151;Sanrio Digital
1153;Image Kei
1155;Studio Moriken
1157;Big Bang
1163;Flatiron Film Company
1165;Tri-Slash
1167;Nikkatsu Mukojima
1169;ILCA
1171;Olive Studio
1173;Studio Dadashow
1177;" Geijutsu Eigasha"
1181;RG Animation Studios
1183;E&G Films
1185;81 Produce
1187;Ripple Film
1189;Sola Digital Arts
1191;Azeta Pictures
1193;MooGoo
1195;Creators in Pack
1197;Steve N' Steven
1209;Studio A-CAT
1211;Tokyo MX
1217;HeART-BIT
1229;Pie in the sky
1231;OLM Digital
1235;I was a Ballerina
1237;Millepensee
1239;KeyEast
1242;Sakura Color Film
1244;Studio VOLN
1247;Mistral Japan
1248;Studio Mirai
1249;Mirai Film
1250;The National Film Center Japan
1251;Dentsu Eigasha Tokyo
1252;Studio Binzo
1257;A-Real
1258;Bandai Namco Pictures
1259;Studio Curtain
1260;Nakamura Production
1261;Good Smile Company
1263;Dynamo Pictures
1264;EMT Squared
1265;Tomovies
1266;Studio! Cucuri
1268;L²Studio
1270;Sanctuary
1271;Assez Finaud Fabric
1273;Osaka University of Arts
1276;HS Pictures Studio
1277;Imagica West
1278;Signal.MD
1279;Buemon
1280;Media Castle
1281;Office DCI
1282;Arcturus
1284;Avex Pictures
1286;10Gauge
1290;Pollyanna Graphics
1291;KOO-KI
1292;TUBA
1295;Pine Jam
1296;Marza Animation Planet
1299;AXsiZ
1300;Office Nobu
1301;CCTV Animation Co. LTD
1302;RoiVisual
1303;PansonWorks
1304;Qualia Animation
1306;AIC Classic
1313;Amuse
1314;Gaina
1317;Production GoodBook
1320;Joker Films
1322;Creative Power Entertaining
1324;Shimogumi
1325;Haoliners Animation League
1328;Decovocal
1340;Typhoon Graphics
1349;Tencent Animation & Comics
1350;B.CMAY PICTURES
1353;Issen
1356;Tonko House
1357;Craftar Studios
1360;Hoods Drifters Studio
1361;Darts
1362;Rabbit Machine
1363;Marine Entertainment
1365;Shueisha
1370;Sprite Animation Studios
1371;T.P.O
1372;Soeishinsha
1379;Zero-G
1380;domerica
1381;GEMBA
1383;Studio Live
1387;Neft Film
1393;Geno Studio
1396;W-Toon Studio
1399;Asura Film
1407;Children's Playground Entertainment
1419;GARDEN LODGE
1421;Takara Tomy A.R.T.S
1426;Studio Meditation With a Pencil
1433;Ekura Animal
1435;JCF
1436;Stingray
1437;Ishimori Entertainment
1440;Felix Film
1442;Mook DLE
1444;Egg Firm
1445;Arcs Create
1451;TYO
1454;REALTHING
1456;Beijing Huihuang Animation Company
1460;Coastline Animation Studio
1462;B&T
1464;Hiro Media
1471;Platinum Vision
1473;Odolttogi
1476;Shochiku Animation Institute
1479;Studio Core
1485;Light Chaser Animation Studios
1487;Bouncy
1489;Ripromo
1504;Studio Z5
1505;Studio March
1509;Studio World
1512;Dai-Ichi Douga
1513;Dongyang Animation
1514;Tengu Kobo
1521;Studio elle
1522;Echoes
1523;Studio Ponoc
1529;Studio M2
1530;Emon
1533;Studio WHO
1536;Namu Animation
1545;Japan Taps
1547;Blade
1549;Dai Nippon Printing
1558;TOCSIS
1560;Yaoyorozu
1562;Team YokkyuFuman
1567;Nut
1569;Seven Arcs Pictures
1572;XFLAG
1575;DR Movie
1591;Science SARU
1592;Kamio Japan
1593;Success Corp.
1596;Will Palette
1618;Rockwell Eyes
1638;Tsukimidou
1650;Twilight Studio
1661;drop
1662;Creators Dot Com
1667;Shanghai Foch Film and TV Culture Investment
1668;Karasfilms
1669;production doA
1670;Nishiki Studio
1671;DMM pictures
1673;DMM.futureworks
1687;Yokohama Animation Lab
1690;Imagineer
1691;Studio UGOKI
1692;Revoroot
1693;Studio Flad
1705;Studio Khronos
1706;Beijing Rocen Digital
1722;Bibury Animation Studios
1723;Anime Beans
1724;Studio OX
1726;Three-d
1727;Tencent Penguin Pictures
1746;Pops Inc.
1747;Twin Engine
1751;pH Studio
1753;D & D Pictures
1754;Meruhensha
1759;Lilix
1762;Piso Studio
1763;Studio Nanahoshi
1764;Picona
1766;Husio Studio
1767;iDRAGONS Creative Studio
1768;Sparkly Key Animation Studio
1769;helo.inc
1770;KIZAWA Studio
1771;Pb Animation Co. Ltd.
1772;Wawayu Animation
1773;KJJ Animation
1774;Studio LAN
1794;EKACHI EPILKA
1796;Digital Network Animation
1797;NHK Enterprises
1800;Marui Group
1804;Nice Boat Animation
1805;Thundray
1807;2:10 AM Animation
1808;CG Year
1809;October Media
1810;Mili Pictures
1811;Boyan Pictures
1812;Imagica Imageworks
1813;Studio Lings
1814;Studio Hakk
1827;Motion Magic
