Id;Name;Episodes;Franchise;Kind;Rating;Score;Status;AiredOn;ReleasedOn
6463;Hoshi wo Katta Hi;1;;movie;g;7.06;released;2006-01-02T21:00:00.0000000Z;
6467;Detective Conan Movie 14: The Lost Ship in the Sky;1;detective_conan;movie;g;8.14;released;2010-04-16T20:00:00.0000000Z;
6468;Tensai Bakabon;40;osomatsu_san;tv;g;6.41;released;1971-09-24T21:00:00.0000000Z;1972-06-23T21:00:00.0000000Z
6472;Gakkou no Kowai Uwasa: Hanako-san ga Kita!!;35;toilet_no_hanako_san;tv;pg_13;6.19;released;1994-08-14T20:00:00.0000000Z;1995-12-28T21:00:00.0000000Z
6479;Candy Boy Episode: EX02 - Shiawase Kyouyuu Riron;1;candy_boy;special;pg_13;6.81;released;2009-06-23T20:00:00.0000000Z;
6481;Sugar Bunnies Fleur;26;sugar_bunnies;tv;pg;0.0;released;2009-04-06T20:00:00.0000000Z;2009-09-28T20:00:00.0000000Z
6482;Sugar Bunnies Chocolate!;26;sugar_bunnies;tv;pg;0.0;released;2008-03-31T20:00:00.0000000Z;2008-09-29T20:00:00.0000000Z
6484;Chokin Senshi Cashman;1;;ova;pg;5.67;released;1997-07-28T20:00:00.0000000Z;
6489;Zero no Tsukaima: Princesses no Rondo Picture Drama;7;zero_no_tsukaima;special;pg_13;6.95;released;2008-09-24T20:00:00.0000000Z;2009-03-24T21:00:00.0000000Z
6491;Scandal;12;;ona;g;5.32;released;2009-04-30T20:00:00.0000000Z;2009-05-11T20:00:00.0000000Z
6492;Minky Momo in Tabidachi no Eki;1;mahou_no_princess_minky_momo;ova;g;6.31;released;1994-06-21T20:00:00.0000000Z;
6496;Cutey Honey Flash: The Movie;1;cutey_honey;movie;r;6.08;released;1997-07-11T20:00:00.0000000Z;
6500;Seikon no Qwaser;24;seikon_no_qwaser;tv;r_plus;6.44;released;2010-01-09T21:00:00.0000000Z;2010-06-19T20:00:00.0000000Z
6505;There She Is!!;5;;ona;g;7.92;released;2003-04-19T20:00:00.0000000Z;2008-12-08T21:00:00.0000000Z
6509;Kiteretsu Daihyakka;331;;tv;pg;6.68;released;1988-03-26T21:00:00.0000000Z;1996-06-08T20:00:00.0000000Z
6511;Chou Seimeitai Transformers Beast Wars Neo;35;beast_wars_neo;tv;pg;6.43;released;1999-02-02T21:00:00.0000000Z;1999-09-28T20:00:00.0000000Z
6512;Nyan Koi!;12;;tv;pg_13;7.19;released;2009-10-01T20:00:00.0000000Z;2009-12-17T21:00:00.0000000Z
6513;Ravex in Tezuka World;1;atom;ova;g;5.59;released;2009-04-28T20:00:00.0000000Z;
6517;Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?;1;saa_ikou_tamagotchi;movie;g;0.0;released;2008-12-19T21:00:00.0000000Z;
6518;Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?;1;saa_ikou_tamagotchi;movie;g;6.2;released;2007-12-14T21:00:00.0000000Z;
6519;Tamagotchi Honto no Hanashi;1;saa_ikou_tamagotchi;movie;g;0.0;released;1997-07-11T20:00:00.0000000Z;
6520;Anime TV de Hakken! Tamagotchi;27;;tv;g;0.0;released;1997-07-06T20:00:00.0000000Z;1998-03-20T21:00:00.0000000Z
6522;Usahana: Yumemiru Ballerina;7;;special;g;0.0;released;2006-09-30T20:00:00.0000000Z;2006-11-30T21:00:00.0000000Z
6523;Porong Porong Pororo;52;yoligongju_loopy;tv;g;5.94;released;2003-11-26T21:00:00.0000000Z;2004-05-17T20:00:00.0000000Z
6524;Pororo Daemoheom;1;yoligongju_loopy;special;g;0.0;released;2004-11-23T21:00:00.0000000Z;
6525;Peeping Life;10;peeping_life;tv;g;5.23;released;2009-05-13T20:00:00.0000000Z;2009-08-10T20:00:00.0000000Z
6527;Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?;1;pretty_cure;movie;g;6.63;released;2009-10-30T21:00:00.0000000Z;
6528;Utsurun Desu.;3;;ova;none;0.0;released;2009-08-20T20:00:00.0000000Z;2009-10-22T20:00:00.0000000Z
6535;Ai;1;;movie;pg_13;4.25;released;1962-12-31T21:00:00.0000000Z;
6547;Angel Beats!;13;angel_beats;tv;pg_13;8.14;released;2010-04-02T20:00:00.0000000Z;2010-06-25T20:00:00.0000000Z
6553;Junjou Romantica Special;1;junjou_romantica;special;pg_13;7.48;released;2007-12-31T21:00:00.0000000Z;
6554;Kawa no Hikari;1;;special;g;6.98;released;2009-06-19T20:00:00.0000000Z;
6555;Pokemon: Pikachu no Kirakira Daisousaku!;1;pokemon;special;pg;6.31;released;2009-07-31T20:00:00.0000000Z;
6557;Fortune Quest: Yo ni mo Shiawase na Boukensha-tachi;4;fortune_quest;ova;pg_13;6.16;released;1993-10-08T21:00:00.0000000Z;1994-05-09T20:00:00.0000000Z
6560;Popee the Performer;39;popee_the_performer;tv;r;7.14;released;2000-01-02T21:00:00.0000000Z;2001-12-27T21:00:00.0000000Z
6566;It's a Rumic World: 50th Anniversary Weekly★Shonen Sunday;1;;special;pg_13;6.87;released;2008-07-29T20:00:00.0000000Z;2008-08-10T20:00:00.0000000Z
6567;Urusei Yatsura: The Shougaibutsu Suieitaikai;1;urusei_yatsura;special;pg_13;7.09;released;2008-12-22T21:00:00.0000000Z;
6568;Bokura no Saibanin Monogatari;1;bokura_no_saibanin_monogatari;ona;g;0.0;released;2009-05-20T20:00:00.0000000Z;
6571;Koume-chan ga Iku!;12;;tv;pg_13;5.96;released;1999-07-31T20:00:00.0000000Z;1999-09-30T20:00:00.0000000Z
6572;Shakugan no Shana S;4;shakugan_no_shana;ova;pg_13;7.36;released;2009-10-22T20:00:00.0000000Z;2010-09-28T20:00:00.0000000Z
6573;Darker than Black: Ryuusei no Gemini;12;darker_than_black;tv;r;7.47;released;2009-10-08T20:00:00.0000000Z;2009-12-24T21:00:00.0000000Z
6574;Hanamaru Youchien;12;hanamaru_youchien;tv;pg_13;7.3;released;2010-01-10T21:00:00.0000000Z;2010-03-28T20:00:00.0000000Z
6577;Machine Robo: Leina, The Legend of Wolf Blade;3;machine_robo;ova;pg_13;0.0;released;1988-02-04T21:00:00.0000000Z;1989-04-25T20:00:00.0000000Z
6579;Chikyuu Bouei Kazoku Special;1;chikyuu_bouei_kazoku;special;pg_13;6.27;released;2002-11-24T21:00:00.0000000Z;
6581;Sengoku Basara: Setonai no Gekitotsu! Hi wo Fuku Umi no Daiyousai - Fugaku!!;1;sengoku_basara;special;pg_13;7.19;released;2010-01-05T21:00:00.0000000Z;
6582;Tentai Senshi Sunred 2nd Season;26;tentai_senshi_sunred;tv;pg_13;7.9;released;2009-10-02T20:00:00.0000000Z;2010-03-26T21:00:00.0000000Z
6583;Super Bikkuriman;44;bikkuriman;tv;g;0.0;released;1992-05-16T20:00:00.0000000Z;1993-04-03T20:00:00.0000000Z
6586;Yume-iro Pâtissière;50;yume_iro_p_tissi_re;tv;g;7.86;released;2009-10-03T20:00:00.0000000Z;2010-09-25T20:00:00.0000000Z
6587;Kurokami: Intermission;1;kurokami_the_animation;special;r;6.63;released;2009-04-02T20:00:00.0000000Z;
6591;Rurouni Kenshin DVD-BOX Special Ending;1;rurouni_kenshin;special;g;7.75;released;2006-12-31T21:00:00.0000000Z;
6593;Elmer no Bouken: My Father's Dragon;1;;ova;g;0.0;released;1997-07-04T20:00:00.0000000Z;
6594;Katanagatari;12;;tv;r;8.36;released;2010-01-25T21:00:00.0000000Z;2010-12-10T21:00:00.0000000Z
6604;Kuruneko;50;kuruneko;tv;g;7.31;released;2009-07-04T20:00:00.0000000Z;2010-06-25T20:00:00.0000000Z
6607;Superflat First Love;1;;special;g;5.66;released;2009-04-27T20:00:00.0000000Z;
6609;Pucca;26;pucca;tv;g;6.57;released;2006-09-07T20:00:00.0000000Z;2007-05-10T20:00:00.0000000Z
6610;Ibara no Ou;1;;movie;r_plus;7.0;released;2009-10-08T20:00:00.0000000Z;
6616;Watashi no Coffee Samurai: Jihanki-teki na Kareshi;1;;special;g;6.03;released;2009-05-30T20:00:00.0000000Z;
6624;Kara no Kyoukai Remix: Gate of Seventh Heaven;1;kara_no_kyoukai;movie;r;7.6;released;2009-03-13T21:00:00.0000000Z;
6625;Nono-chan;61;nono_chan;tv;g;6.17;released;2001-07-06T20:00:00.0000000Z;2002-09-27T20:00:00.0000000Z
6628;Dengeki Bunko 2007 Movie Festival Special;1;;special;g;6.19;released;2007-04-20T20:00:00.0000000Z;
6629;Asari-chan;54;asari_chan;tv;g;6.03;released;1982-01-24T21:00:00.0000000Z;1983-02-27T21:00:00.0000000Z
6630;Asari-chan: Ai no Marchen Shoujo;1;asari_chan;movie;none;0.0;released;1982-03-12T21:00:00.0000000Z;
6633;Queen's Blade: Gyokuza wo Tsugu Mono;12;queen_s_blade;tv;r_plus;6.57;released;2009-09-23T20:00:00.0000000Z;2009-12-09T21:00:00.0000000Z
6634;Sengoku Basara Ni;12;sengoku_basara;tv;pg_13;7.56;released;2010-07-10T20:00:00.0000000Z;2010-09-25T20:00:00.0000000Z
6636;Chou Kousoku Galvion;22;;tv;pg_13;5.99;released;1984-02-02T21:00:00.0000000Z;1984-04-28T20:00:00.0000000Z
6637;Higashi no Eden Movie II: Paradise Lost;1;higashi_no_eden;movie;pg_13;7.63;released;2010-03-12T21:00:00.0000000Z;
6641;Tonari no 801-chan R;1;;ova;g;5.78;released;2009-09-09T20:00:00.0000000Z;
6645;Chu-Bra!!;12;;tv;pg_13;6.23;released;2010-01-03T21:00:00.0000000Z;2010-03-21T21:00:00.0000000Z
6653;Ginga Tetsudou 999: Glass no Clair;1;ginga_tetsudou;movie;g;6.58;released;1980-03-14T21:00:00.0000000Z;
6654;Namakura Gatana;1;the_dull_sword;movie;g;5.54;released;1917-06-29T21:28:00.0000000Z;
6657;Joshikousei: Girl's High Specials;3;joshikousei;special;pg_13;6.5;released;2006-05-24T20:00:00.0000000Z;2006-09-21T20:00:00.0000000Z
6658;Unko-san: Tsuiteru Hito ni Shika Mienai Yousei;13;unko_san;tv;pg;5.33;released;2009-03-17T21:00:00.0000000Z;2009-07-19T20:00:00.0000000Z
6670;8-gatsu no Symphony: Shibuya 2002-2003;1;;movie;pg_13;6.61;released;2009-08-21T20:00:00.0000000Z;
6671;Byeolnala Samchongsa;1;samchongsa;movie;pg;5.48;released;1979-07-20T21:00:00.0000000Z;
6672;Video Senshi Lezarion;45;;tv;pg_13;6.42;released;1984-03-03T21:00:00.0000000Z;1985-02-02T21:00:00.0000000Z
6674;Reporter Blues;52;;tv;pg_13;6.42;released;1991-10-02T22:00:00.0000000Z;1991-11-07T22:00:00.0000000Z
6675;Redline;1;trava;movie;r_plus;8.29;released;2009-08-13T20:00:00.0000000Z;
6676;Asura Cryin' 2;13;asura_cryin;tv;pg_13;7.3;released;2009-09-30T20:00:00.0000000Z;2009-12-23T21:00:00.0000000Z
6680;Doujouji;1;;movie;pg_13;6.0;released;1975-12-31T21:00:00.0000000Z;
6682;11eyes;12;11eyes;tv;r;6.15;released;2009-10-06T20:00:00.0000000Z;2009-12-22T21:00:00.0000000Z
6684;Marie & Gali Special;1;marie_gali;special;g;5.62;released;2009-06-01T20:00:00.0000000Z;
6687;Chinyuuki: Tarou to Yukai na Nakama-tachi;3;;ova;pg_13;0.0;released;2009-06-11T20:00:00.0000000Z;2009-08-06T20:00:00.0000000Z
6688;Batain Lai!! Minami no Shima no Mizu Monogatari;1;;movie;g;6.12;released;2009-05-08T20:00:00.0000000Z;
6693;Yatterman the Movie: Shin Yattermecha Osu Gou! Omocha no Kuni de Dai Ketsudan da Koron;1;time_bokan;movie;g;6.23;released;2009-08-21T20:00:00.0000000Z;
6695;Mangchi;1;;movie;pg;5.99;released;2004-08-05T20:00:00.0000000Z;
6701;Jim Button;26;;tv;pg;0.0;released;1974-10-03T21:00:00.0000000Z;1975-03-27T21:00:00.0000000Z
6702;Fairy Tail;175;fairy_tail;tv;pg_13;7.66;released;2009-10-11T20:00:00.0000000Z;2013-03-29T20:00:00.0000000Z
6704;Queen's Blade: Rurou no Senshi Specials;6;queen_s_blade;special;r_plus;5.99;released;2009-06-24T20:00:00.0000000Z;2009-11-24T21:00:00.0000000Z
6705;Tayutayu: Pure My Heart;6;tayutama;special;pg_13;6.39;released;2009-06-24T20:00:00.0000000Z;2009-11-24T21:00:00.0000000Z
6707;Kuroshitsuji II;12;kuroshitsuji;tv;r;7.21;released;2010-07-01T20:00:00.0000000Z;2010-09-16T20:00:00.0000000Z
6709;Ai Yori Aoshi: Yumegatari;1;ai_yori_aoshi;special;pg_13;6.79;released;2002-03-31T20:00:00.0000000Z;
6712;Natsu no Arashi! Akinaichuu;13;natsu_no_arashi;tv;pg_13;7.32;released;2009-10-04T20:00:00.0000000Z;2009-12-27T21:00:00.0000000Z
6713;Ranma ½: Nettou Uta Gassen;2;ranma;ova;pg_13;7.17;released;1990-11-06T21:00:00.0000000Z;1990-11-20T21:00:00.0000000Z
6714;Dragon Ball Z: Atsumare! Gokuu World;1;dragon_ball;ova;g;6.47;released;1992-01-27T21:00:00.0000000Z;
6718;Yamato 2520;3;uchuu_senkan_yamato;ova;pg_13;5.77;released;1994-11-20T21:00:00.0000000Z;1996-08-24T20:00:00.0000000Z
6721;Ankoku Cat;6;ankoku_cat;ona;g;5.79;released;2006-12-18T21:00:00.0000000Z;2008-05-12T20:00:00.0000000Z
6726;Hanasakeru Seishounen Recaps;3;hanasakeru_seishounen;special;pg_13;6.79;released;2009-06-27T20:00:00.0000000Z;2009-10-17T20:00:00.0000000Z
6727;Mechakko Dotakon;28;;tv;g;0.0;released;1981-04-03T20:00:00.0000000Z;1981-10-09T21:00:00.0000000Z
6728;Helen Keller Monogatari: Ai to Hikari no Tenshi;1;;movie;g;6.32;released;1981-05-04T20:00:00.0000000Z;
6730;Tonde Mon Pe;42;;tv;g;0.0;released;1982-06-04T20:00:00.0000000Z;1983-04-01T20:00:00.0000000Z
6731;Ultraman Kids no Kotowaza Monogatari;26;ultraman;tv;pg;5.95;released;1986-04-15T20:00:00.0000000Z;1986-11-18T21:00:00.0000000Z
6733;Ginga Tetsudou 999: Kimi wa Senshi no You ni Ikirareru ka?;1;ginga_tetsudou;special;g;6.5;released;1979-10-10T21:00:00.0000000Z;
6734;Ginga Tetsudou 999: Eien no Tabibito Emeraldas;1;ginga_tetsudou;special;pg_13;6.81;released;1980-04-02T21:00:00.0000000Z;
6735;Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseru ka!!;1;ginga_tetsudou;special;g;6.56;released;1980-10-01T21:00:00.0000000Z;
6736;Mouryou no Hako: Chuuzenji Atsuko no Jikenbo - Hako no Yurei no Koto;1;mouryou_no_hako;special;r;6.64;released;2009-05-21T20:00:00.0000000Z;
6741;Makai Senki Disgaea: Welcome to Netherworld;1;makai_senki_disgaea;special;pg_13;6.74;released;2006-02-22T21:00:00.0000000Z;
6743;Utawarerumono OVA Picture Drama;3;utawarerumono;special;pg_13;6.41;released;2009-06-23T20:00:00.0000000Z;2010-06-22T20:00:00.0000000Z
6746;Durarara!!;24;durarara;tv;r;8.17;released;2010-01-07T21:00:00.0000000Z;2010-06-24T20:00:00.0000000Z
6747;Dance in the Vampire Bund;12;dance_in_the_vampire_bund;tv;r_plus;7.05;released;2010-01-06T21:00:00.0000000Z;2010-03-31T20:00:00.0000000Z
6748;Yoku Wakaru Gendai Mahou: Cruncha Cruncha Cruncha;1;yoku_wakaru_gendai_mahou;special;pg_13;6.63;released;2009-06-13T20:00:00.0000000Z;
6758;Tatakau Shisho: The Book of Bantorra;27;;tv;r;7.24;released;2009-10-01T20:00:00.0000000Z;2010-04-01T20:00:00.0000000Z
6759;Cynical Hysterie Hour: Trip Coaster;1;cynical_hysterie_hour;movie;g;0.0;released;1988-12-23T21:00:00.0000000Z;
6760;Cynical Hysterie Hour: Henshin!;1;cynical_hysterie_hour;movie;g;0.0;released;1989-02-03T21:00:00.0000000Z;
6761;Cynical Hysterie Hour: Yoru wa Tanoshii;1;cynical_hysterie_hour;movie;g;0.0;released;1989-04-07T20:00:00.0000000Z;
6762;Cynical Hysterie Hour: Utakata no Uta;1;cynical_hysterie_hour;movie;g;0.0;released;1989-06-23T20:00:00.0000000Z;
6768;Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem;1;code_geass;ova;r;7.81;released;2009-07-23T20:00:00.0000000Z;
6769;Mura Matsuri;1;;movie;g;5.04;released;1930-10-13T21:00:00.0000000Z;
6771;Dorimogu Daa!!;49;;tv;pg;0.0;released;1986-10-14T21:00:00.0000000Z;1987-10-07T21:00:00.0000000Z
6772;Break Blade 1: Kakusei no Toki;1;break_blade;movie;r;7.66;released;2010-05-28T20:00:00.0000000Z;
6773;Shakugan no Shana III (Final);24;shakugan_no_shana;tv;pg_13;7.55;released;2011-10-07T20:00:00.0000000Z;2012-03-23T20:00:00.0000000Z
6774;Kuuchuu Buranko;11;;tv;r;7.96;released;2009-10-14T20:00:00.0000000Z;2009-12-23T21:00:00.0000000Z
6779;Pokonyan!;170;;tv;pg;6.63;released;1993-04-04T20:00:00.0000000Z;1996-03-28T21:00:00.0000000Z
6783;ef: A Tale of Memories. - Recollections;1;ef;special;pg_13;7.32;released;2008-09-25T20:00:00.0000000Z;
6787;Goulart Knights: Evoked the Beginning Black;1;goulart_knights;ova;pg_13;5.75;released;2010-12-24T21:00:00.0000000Z;
6791;Kanokon: Manatsu no Dai Shanikusai;2;kanokon;ova;r_plus;6.58;released;2009-10-03T20:00:00.0000000Z;2009-10-10T20:00:00.0000000Z
6792;Mobile Suit SD Gundam Mk V;3;gundam;ova;g;5.77;released;1990-10-24T21:00:00.0000000Z;
6793;Kuroshitsuji: Sono Shitsuji, Kougyou;1;kuroshitsuji;special;pg_13;7.54;released;2009-09-29T20:00:00.0000000Z;
6794;Kurokami: Tora to Tsubasa;1;kurokami_the_animation;special;r;6.87;released;2009-12-21T21:00:00.0000000Z;
6795;Genius Party Beyond;5;genius_party;movie;r;7.23;released;2008-10-10T20:00:00.0000000Z;
6796;Kyuukyoku Choujin R;1;;ova;pg_13;6.27;released;1991-10-23T22:00:00.0000000Z;
6797;Docchi ni Suru?;1;;movie;g;5.51;released;1998-12-31T21:00:00.0000000Z;
6798;Saa Ikou! Tamagotchi;12;saa_ikou_tamagotchi;tv;g;5.79;released;2007-11-28T21:00:00.0000000Z;2008-02-13T21:00:00.0000000Z
6800;Transformers: Scramble City;1;;ova;pg_13;5.81;released;1986-03-31T20:00:00.0000000Z;
6802;So Ra No Wo To;12;so_ra_no_wo_to;tv;pg_13;7.55;released;2010-01-04T21:00:00.0000000Z;2010-03-22T21:00:00.0000000Z
6809;Toshi Densetsu Monogatari Hikiko;1;;ova;r;5.94;released;2008-08-07T20:00:00.0000000Z;
6811;InuYasha: Kanketsu-hen;26;inuyasha;tv;pg_13;8.22;released;2009-10-03T20:00:00.0000000Z;2010-03-29T20:00:00.0000000Z
6822;Ukkari Penelope (2009);26;ukkari_penelope;tv;g;0.0;released;2009-06-28T20:00:00.0000000Z;2010-01-01T21:00:00.0000000Z
6823;Omocha Bako Series Dai 3 Wa: Ehon 1936-nen;1;;movie;g;4.69;released;1934-04-12T21:00:00.0000000Z;
6827;Suzume no Oyado;1;;movie;g;5.3;released;1935-12-31T21:00:00.0000000Z;
6828;Ohi-sama to Kaeru;1;;movie;g;4.34;released;1935-12-31T21:00:00.0000000Z;
6829;Izakaya no Ichiya;1;;movie;g;5.23;released;1936-06-05T21:00:00.0000000Z;
6830;Hinomaru Hatanosuke: Inazuma-gumi Tobatsu no Maki;1;hinomaru_hatanosuke;movie;g;4.68;released;1934-12-31T21:00:00.0000000Z;
6831;Hinomaru Hatanosuke: Bakemonoyashiki no Maki;1;hinomaru_hatanosuke;movie;g;4.82;released;1934-12-31T21:00:00.0000000Z;
6832;Shoujouji no Tanuki-bayashi Ban Danemon;1;;movie;g;5.14;released;1934-12-31T21:00:00.0000000Z;
6833;Ninjutsu Hinotama Kozou: Edo no Maki;1;;movie;g;4.06;released;1935-11-08T21:00:00.0000000Z;
6834;Taa-chan no Kaitei Ryokou;1;;movie;g;4.42;released;1935-03-25T21:00:00.0000000Z;
6835;Umi no Mizu wa Naze Karai;1;;movie;g;5.67;released;1935-09-11T21:00:00.0000000Z;
6836;Issunboushi: Chibisuke Monogatari;1;;movie;g;5.04;released;1935-05-07T21:00:00.0000000Z;
6837;Tengu Taiji;1;;movie;g;5.06;released;1934-06-25T21:00:00.0000000Z;
6838;Dekobou no Jidousha Ryokou;1;;movie;g;4.15;released;1933-12-31T21:00:00.0000000Z;
6839;Hinomaru Tarou: Musha Shugyou no Maki;1;;movie;g;4.86;released;1935-12-31T21:00:00.0000000Z;
6840;Maabou no Daikyousou;1;maabou_no_daikyousou;movie;g;4.63;released;1935-12-31T21:00:00.0000000Z;
6841;Maabou no Kinoshita Toukichirou;1;maabou_no_daikyousou;movie;g;5.07;released;1938-12-04T21:00:00.0000000Z;
6842;Oyoge ya Oyoge;1;;movie;g;5.08;released;1938-12-31T21:00:00.0000000Z;
6843;Kangaroo no Tanjoubi;1;;movie;g;5.3;released;1941-01-31T21:00:00.0000000Z;
6844;Osaru no Sankichi: Boukuusen;1;osaru_no_sankichi;movie;g;4.47;released;1941-12-31T21:00:00.0000000Z;
6846;Kuma ni Kuwarenu Otoko;1;;movie;g;5.13;released;1947-12-31T21:00:00.0000000Z;
6847;Gulliver Funtouki;1;;movie;g;5.18;released;1949-12-31T21:00:00.0000000Z;
6848;Doubutsu Mura no Daisodou;1;;movie;g;5.13;released;1941-12-31T21:00:00.0000000Z;
6849;Bouken Dankichi: Hyouryuu no Maki;1;bouken_dankichi;movie;g;4.56;released;1933-12-31T21:00:00.0000000Z;
6850;Norakuro Shoui: Nichiyoubi no Kaijiken;1;norakuro;movie;g;4.87;released;1932-12-31T21:00:00.0000000Z;
6851;Kaitei no Boukun;1;osaru_no_tairyou;movie;g;4.49;released;1932-12-31T21:00:00.0000000Z;
6852;Ahiru no Otegara;1;;movie;g;5.06;released;1930-12-31T21:00:00.0000000Z;
6855;Da Nao Tiangong;1;renshenguo;movie;g;6.6;released;1963-12-31T21:00:00.0000000Z;
6857;Momotarou no Umiwashi;1;momotarou;movie;g;4.95;released;1943-03-24T21:00:00.0000000Z;
6861;Shui Naodai;1;;special;g;6.12;released;2009-06-16T20:00:00.0000000Z;
6862;K-On!: Live House!;1;k_on;special;pg_13;7.83;released;2010-01-18T21:00:00.0000000Z;
6864;xxxHOLiC Rou;2;xxxholic;ova;pg_13;8.22;released;2010-04-22T20:00:00.0000000Z;2011-03-08T21:00:00.0000000Z
6867;Halo Legends;9;;ona;pg_13;7.03;released;2009-11-06T21:00:00.0000000Z;2010-02-15T21:00:00.0000000Z
6868;Wansa-kun;26;wansa_kun;tv;pg;0.0;released;1973-04-01T21:00:00.0000000Z;1973-09-23T21:00:00.0000000Z
6872;Cyborg 009;1;cyborg;movie;g;6.09;released;1966-07-20T21:00:00.0000000Z;
6875;Iron Man;12;marvel;tv;pg_13;6.09;released;2010-09-30T20:00:00.0000000Z;2010-12-16T21:00:00.0000000Z
6877;Pokemon: Bokutachi Pichu Brothers - Party wa Oosawagi! no Maki;1;pokemon;special;pg;6.53;released;2003-07-17T20:00:00.0000000Z;
6878;Usavich Special;1;usavich;special;g;6.43;released;2008-10-30T21:00:00.0000000Z;
6880;Deadman Wonderland;12;deadman_wonderland;tv;r;7.21;released;2011-04-16T20:00:00.0000000Z;2011-07-02T20:00:00.0000000Z
6882;Hatsukoi Limited.: Gentei Shoujo;6;hatsukoi_limited;special;pg_13;6.7;released;2009-07-23T20:00:00.0000000Z;2009-12-22T21:00:00.0000000Z
6883;Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro;1;umi_monogatari;special;pg_13;6.56;released;2010-03-25T21:00:00.0000000Z;
6884;Ookami to Koushinryou II: Holo no Short Anime;2;ookami_to_koushinryou;special;pg_13;7.06;released;2009-10-06T20:00:00.0000000Z;2009-11-03T21:00:00.0000000Z
6885;Sora no Manimani Specials;3;sora_no_manimani;special;pg_13;6.57;released;2009-09-01T20:00:00.0000000Z;2009-12-15T21:00:00.0000000Z
6889;Time Bokan Series: Zenderman;52;time_bokan;tv;pg_13;5.89;released;1979-02-02T21:00:00.0000000Z;1980-01-25T21:00:00.0000000Z
6890;Ontama!;5;;ona;g;6.75;released;2009-08-06T20:00:00.0000000Z;2009-11-05T21:00:00.0000000Z
6895;Hakuouki;12;hakuouki;tv;r;7.41;released;2010-04-03T20:00:00.0000000Z;2010-06-19T20:00:00.0000000Z
6896;Pandora Hearts Omake;9;pandora_hearts;special;pg_13;7.36;released;2009-07-23T20:00:00.0000000Z;2010-03-24T21:00:00.0000000Z
6899;Stitch!: Itazura Alien no Daibouken;29;stitch;tv;g;6.12;released;2009-10-12T20:00:00.0000000Z;2010-06-28T20:00:00.0000000Z
6900;Tamagotchi!;143;hybrid_deka;tv;g;6.32;released;2009-10-11T20:00:00.0000000Z;2012-09-02T20:00:00.0000000Z
6901;Battle Spirits: Shounen Gekiha Dan;50;battle_spirits;tv;pg;6.97;released;2009-09-12T20:00:00.0000000Z;2010-09-04T20:00:00.0000000Z
6902;Saikyou Bushouden: Sangoku Engi;52;;tv;pg_13;6.81;released;2010-04-03T20:00:00.0000000Z;2011-03-26T21:00:00.0000000Z
6904;Hellsing: Digest for Freaks;1;hellsing;ova;r;7.67;released;2006-01-21T21:00:00.0000000Z;
6907;Mikan-Seijin;26;mikan_seijin;tv;g;5.85;released;1991-12-31T22:00:00.0000000Z;
6909;Jungle Taitei: Yuuki ga Mirai wo Kaeru;1;jungle_taitei;special;g;6.88;released;2009-09-04T20:00:00.0000000Z;
6917;Tsuideni Tonchinkan;43;;tv;g;0.0;released;1987-10-09T21:00:00.0000000Z;1988-09-30T21:00:00.0000000Z
6918;Wolverine;12;marvel;tv;pg_13;6.09;released;2011-01-06T21:00:00.0000000Z;2011-03-24T21:00:00.0000000Z
6919;X-Men;12;marvel;tv;pg_13;6.36;released;2011-03-31T20:00:00.0000000Z;2011-06-23T20:00:00.0000000Z
6920;Blade;12;marvel;tv;r;6.24;released;2011-06-30T20:00:00.0000000Z;2011-09-15T20:00:00.0000000Z
6922;Fate/stay night Movie: Unlimited Blade Works;1;fate;movie;pg_13;7.4;released;2010-01-22T21:00:00.0000000Z;
6927;Higashi no Eden: Air Communication;1;higashi_no_eden;movie;pg_13;7.62;released;2009-09-25T20:00:00.0000000Z;
6930;Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi;1;doraemon;movie;pg;7.16;released;2009-03-06T21:00:00.0000000Z;
6932;Kemono to Chat;1;;ova;pg_13;6.07;released;2009-10-22T20:00:00.0000000Z;
6935;Enkinhou no Hako: Hakase no Sagashimono;1;;special;g;5.2;released;1989-12-31T21:00:00.0000000Z;
6937;Hermes: Ai wa Kaze no Gotoku;1;hermes;movie;pg_13;5.24;released;1997-04-11T20:00:00.0000000Z;
6939;Eien no Hou;1;hermes;movie;g;5.4;released;2006-09-29T20:00:00.0000000Z;
6941;Toriko: Jump Super Anime Tour 2009 Special;1;toriko;special;pg_13;7.03;released;2009-10-11T20:00:00.0000000Z;
6942;Marine Snow no Densetsu;1;;special;g;0.0;released;1980-08-11T21:00:00.0000000Z;
6945;Gintama: Shiroyasha Koutan;1;gintama;special;pg_13;8.34;released;2008-09-20T20:00:00.0000000Z;
6946;Mudazumo Naki Kaikaku: The Legend of Koizumi;3;;ova;r;6.94;released;2010-02-25T21:00:00.0000000Z;
6947;Uchurei!;12;;tv;pg_13;5.68;released;2009-08-08T20:00:00.0000000Z;2009-09-18T20:00:00.0000000Z
