Id;Name;Episodes;Franchise;Kind;Rating;Score;Status;AiredOn;ReleasedOn
64;Rozen Maiden;12;rozen_maiden;tv;pg_13;7.43;released;2004-10-07T20:00:00.0000000Z;2004-12-23T21:00:00.0000000Z
65;Rozen Maiden: Traumend;12;rozen_maiden;tv;pg_13;7.65;released;2005-10-20T20:00:00.0000000Z;2006-01-26T21:00:00.0000000Z
66;Azumanga Daioh;26;azumanga_daioh;tv;pg_13;7.97;released;2002-04-08T20:00:00.0000000Z;2002-09-30T20:00:00.0000000Z
67;Basilisk: Kouga Ninpou Chou;24;basilisk;tv;r;7.57;released;2005-04-12T20:00:00.0000000Z;2005-09-20T20:00:00.0000000Z
68;Black Cat (TV);23;black_cat;tv;pg_13;7.37;released;2005-10-06T20:00:00.0000000Z;2006-03-30T20:00:00.0000000Z
69;Cluster Edge;25;cluster_edge;tv;pg_13;6.34;released;2005-10-04T20:00:00.0000000Z;2006-03-28T20:00:00.0000000Z
71;Full Metal Panic!;24;full_metal_panic;tv;r;7.65;released;2002-01-07T21:00:00.0000000Z;2002-06-17T20:00:00.0000000Z
72;Full Metal Panic? Fumoffu;12;full_metal_panic;tv;pg_13;8.07;released;2003-08-25T20:00:00.0000000Z;2003-10-17T20:00:00.0000000Z
73;Full Metal Panic! The Second Raid;13;full_metal_panic;tv;r;7.96;released;2005-07-13T20:00:00.0000000Z;2005-10-19T20:00:00.0000000Z
74;Gakuen Alice;26;;tv;g;7.64;released;2004-10-29T20:00:00.0000000Z;2005-05-13T20:00:00.0000000Z
75;Soukyuu no Fafner: Dead Aggressor;25;soukyuu_no_fafner;tv;pg_13;7.29;released;2004-07-04T20:00:00.0000000Z;2004-12-26T21:00:00.0000000Z
76;Mahou Shoujo Lyrical Nanoha;13;mahou_shoujo_lyrical_nanoha;tv;pg_13;7.42;released;2004-10-02T20:00:00.0000000Z;2004-12-25T21:00:00.0000000Z
77;Mahou Shoujo Lyrical Nanoha A's;13;mahou_shoujo_lyrical_nanoha;tv;pg_13;7.98;released;2005-10-01T20:00:00.0000000Z;2005-12-24T21:00:00.0000000Z
79;Shuffle!;24;shuffle;tv;r_plus;7.09;released;2005-07-07T20:00:00.0000000Z;2006-01-05T21:00:00.0000000Z
80;Mobile Suit Gundam;43;gundam;tv;pg_13;7.78;released;1979-04-06T21:00:00.0000000Z;1980-01-25T21:00:00.0000000Z
81;Mobile Suit Gundam: The 08th MS Team;12;gundam;ova;pg_13;8.03;released;1996-01-24T21:00:00.0000000Z;1999-07-24T20:00:00.0000000Z
82;Mobile Suit Gundam 0080: War in the Pocket;6;gundam;ova;pg_13;7.91;released;1989-03-24T21:00:00.0000000Z;1989-08-24T20:00:00.0000000Z
83;Mobile Suit Gundam: The 08th MS Team - Miller's Report;1;gundam;movie;pg_13;6.79;released;1998-07-31T20:00:00.0000000Z;
84;Mobile Suit Gundam 0083: Stardust Memory;13;gundam;ova;pg_13;7.29;released;1991-05-22T21:00:00.0000000Z;1992-09-23T20:00:00.0000000Z
85;Mobile Suit Zeta Gundam;50;gundam;tv;pg_13;7.92;released;1985-03-01T21:00:00.0000000Z;1986-02-21T21:00:00.0000000Z
86;Mobile Suit Gundam ZZ;47;gundam;tv;pg_13;6.66;released;1986-02-28T21:00:00.0000000Z;1987-01-30T21:00:00.0000000Z
87;Mobile Suit Gundam: Char's Counterattack;1;gundam;movie;pg_13;7.68;released;1988-03-11T21:00:00.0000000Z;
88;Mobile Suit Gundam F91;1;gundam;movie;pg_13;6.67;released;1991-03-15T21:00:00.0000000Z;
89;Mobile Suit Victory Gundam;51;gundam;tv;pg_13;6.75;released;1993-04-01T20:00:00.0000000Z;1994-03-24T21:00:00.0000000Z
90;Mobile Suit Gundam Wing;49;gundam;tv;pg_13;7.72;released;1995-04-06T20:00:00.0000000Z;1996-03-28T21:00:00.0000000Z
91;Mobile Suit Gundam Wing: Endless Waltz;3;gundam;ova;pg_13;7.76;released;1997-01-24T21:00:00.0000000Z;1997-07-24T20:00:00.0000000Z
92;After War Gundam X;39;gundam;tv;pg_13;7.32;released;1996-04-04T20:00:00.0000000Z;1996-12-27T21:00:00.0000000Z
93;Mobile Suit Gundam SEED;50;gundam;tv;r;7.78;released;2002-10-04T20:00:00.0000000Z;2003-09-26T20:00:00.0000000Z
94;Mobile Suit Gundam SEED Destiny;50;gundam;tv;r;7.21;released;2004-10-08T20:00:00.0000000Z;2005-09-30T20:00:00.0000000Z
95;Turn A Gundam;50;gundam;tv;pg_13;7.7;released;1999-04-08T20:00:00.0000000Z;2000-04-13T20:00:00.0000000Z
96;Mobile Fighter G Gundam;49;gundam;tv;pg_13;7.56;released;1994-03-31T20:00:00.0000000Z;1995-03-30T20:00:00.0000000Z
97;Last Exile;26;last_exile;tv;pg_13;7.82;released;2003-04-07T20:00:00.0000000Z;2003-09-29T20:00:00.0000000Z
98;Mai-HiME;26;mai_hime;tv;pg_13;7.45;released;2004-09-29T20:00:00.0000000Z;2005-03-30T20:00:00.0000000Z
99;Mai-Otome;26;mai_hime;tv;pg_13;7.3;released;2005-10-06T20:00:00.0000000Z;2006-03-30T20:00:00.0000000Z
